# FILE DATA
ID : MDRW2100039186
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 나갈 일이 생굤으니까
P1 	: 맞아야 한다고
P0 	: 아
P1 	: 근데 진심 에바임
P0 	: 학교땨문에?
P1 	: ㅇㅇㅇㅇㅇㅇㅇㅇ
P1 	: 나 죽으면 가끔 널러와서
P0 	: ㅋㅋㅋㅋㅋㅋㅋ아닠ㅋㅋㅋㅁ
P1 	: 차기작 얘기 해주고 가셈
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아
P0 	: ㅇㅋㅇㅋ
P1 	: 스포 가능
P1 	: 누가 내 스타일인지.. 새로운 연예인 누구 나왔는지도
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 내가너네집꼭놀러가서
P0 	: 너방에서
P0 	: 특별히
P0 	: 어질러줄게
P0 	: 너화나서다시깨어나게
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아 진심 진짜 생각만 해도 아
P1 	: 혈압 올라서 심장 뛰는 바람에 다시 살아날 듯
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 양말신고
P0 	: 침대올라가서
P0 	: 발올리고
P0 	: 책다
