# FILE DATA
ID : MDRW2100008481
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 추민하 넘 귀여운거같아요
P1 	: 양석현 노래도좋구요.
P0 	: 글쵸
P0 	: 여기 OST도 넘좋아요
P1 	: 노래 선곡을 잘하는거 같아요
P1 	: 30~40대 추억돋는 노래들~~
P0 	: 맞아요
P0 	: 친숙한 노래들이라 더 귀에 쏙쏙들어오더라구요
P1 	: ㅎ 명곡들이죠~^^  노래도 잘부르는거같아요
P0 	: 비전공자들이 부르니 또 친근하구요
P0 	: 목소리들도 좋구요
P1 	: ㅎ 맞아요~~
P0 	: 전미도는 노래도 잘하던데 어찌그리 음치연기를 잘하는지 신기해요
P0 	: 그것도 어려울것같아요
P1 	: 못부르게 연기하는게 더 어려울꺼같아요
P0 	: 그러니까요
P0 	: 아까 날계란5개인가?
P0 	: 꿀꺽하던데...ㅜㅠ
	  저는 못먹을것같아요 비려서요
P1 	: 저도요.  깜놀~~
P1 	: 한입에들어가는것보고 진짜 놀랬어요
P0 	: 글쵸? 아으ㅡㅡㅡ
P0 	: 이러면서봤어요
P0 	: 노래를 연기로 부르다가 원래대로 잘부르고 그렇게될것같아요 ㅎ
P1 	: ㅎ이제 얼마안남았는데 끝나면 아쉬울꺼같아요
P0 	: 몇부작인가요?
P1 	: 12부일꺼에요
P0 	: 곧 끝나는군요...
