# FILE DATA
ID : MDRW2100018705
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 이름이 MEMORO에요
P1 	: 메모를 하라는게 아니구요
P0 	: 스윗한가요? 아 아재개그
P0 	: 저 너무드라이하면 못먹
P1 	: 예?..
P1 	: 아 에반데
P1 	: 초딩입맛이셨지
P0 	: ㅠ
P1 	: 아니 진로는 잘 드시면서
P0 	: 진로는 달아요
P0 	: 스윗에 속하죠
P1 	: 예???
P0 	: 뭐에요 그반응은?
P1 	: 진로가 달다라
P0 	: 그만큼 하루가 힘들었다~
P1 	: ㅋㅋㅋㅋㅋ아 인생이 쓰다
P1 	: 거 한번 사는 인생
P0 	: 회랑 먹으려면 레드가 어울리겠네요
P1 	: 행복하게 삽시다
P1 	: 레드만 마셔요
P0 	: 아 화이트도 잘어울릴듯
P0 	: ㅠ
P1 	: 그쵸 원래 물고기는 화이트
P1 	: 육지는 레드
P1 	: 디저트는 샴페인
P1 	: 국룰
P0 	: 저번에 와인집가서 마신게 쇼비뇽
P0 	: 어쩌구엿던거같은데
P1 	: 어....
P1 	: 보통 와인은
P1 	: 마지막에 붙는게 품종
P1 	: 쇼비뇽이란 포도 품종을 드셨군요
P0 	: 딱기다려보세요
P0 	: 스톤베이 맛잇엇음
P1 	: 스톤베이!?
P0 	: 화이트일껄요?
P1 	: 스톤베이 소비뇽블랑 이건가요
P0 	: 네네네네
P1 	: 비비노 3.7이네
P1 	: 높네요
P0 	: 맞네그거 물고기그림
P0 	: 그정도면 높은건가요
P1 	: 네
P0 	: 5점짜리는없나여
P1 	: 3.5이상이면 괜춘한거랬어요
P0 	: 진짜 기맥힌거먹어보고싶다
P1 	: 5점짜리는 천만원은 하겠죠뭐
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ??
P0 	: 죽어도 못먹어보겠네요
P0 	: 양주 맛난거있나요
P1 	: 전 양주 안 좋아해요
P0 	: 헥 하이볼도안먹어요?
P1 	: 아뇨 하이볼 완소
P1 	: 양주가 싫어요
P1 	: 고목나무
P1 	: 수
P1 	: 아씨진짜
P1 	: 고목나무 수ㅇㅐㄱ 맛임
P1 	: 썩은나무맛나요
P1 	: 양주들ㅋㅋㅋ
P1 	: 스카치블루 이런애들
P1 	: 맛읍음..
P0 	: 하이볼은진짜 만든사람 뽀뽀해줘야대
P1 	: 만든 사람이 무슨 죕니까
P1 	: 뽀뽀라뇨
P0 	: 김태희의 뽀뽀로 하죠
P1 	: 최근에 피치트리 하이볼 마셔봤는데 이거
P1 	: 미쳐써요
P1 	: 롯데마트에서만 파니까 있는지 보세요
P1 	: 엑스레이티즈 좋아하심?
P0 	: 사실 양주 입에도안대봣음
P1 	: 여성분들 거진 다 좋아하...
P1 	: 아뭐야
P0 	: 아 그거 군대피엑스에서 판다는?
P1 	: ???그래요?
P1 	: 얘기하다보니 뭔가 첨엔 고수 같아보였는데
P1 	: 초보신게 많네요? 물론 저도 왕초본데
P0 	: 소주만 주구장창먹어온인생 ㅋㅋㅋㅋㅋ
P1 	: 소주 마시면 담날 머리 깨질 것 같아요
P1 	: 속도 울렁거리고
P0 	: 아 제가 놀랍게도 숙취가없습니다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 간 완전 싱싱
P1 	: 어허 그러다 훅가요
P1 	: 젊을 때 관리하십셔
P1 	: 주량 얼마나되요?
P0 	: 어...얼마못마심
P0 	: 2병?
P0 	: 주량넘으면 필름끊겨서 거의안넘겨요 ㅋㅋㅋㅋㅋ
P1 	: 아주 바람직하네요
P1 	: 전 한병ㅋㅋㅋㅋㅋㅋ
P1 	: 알쓰입니다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 완전알쓰네요
P1 	: 에이 완전은 아니죠
P0 	: 와 srt탓는데 매진이에요
P1 	: 저 잘버팀
P0 	: 이렇게사람많은거첨봄
P1 	: srt빨라요?
P0 	: 넹 수서1시간걸려여
P0 	: 빠르긴빠름
P1 	: 가격은요?
P1 	: 3300원이었나
P0 	: 2만이요 ㅋㅋㅋㅋㅋㅋ
P1 	: ...
P0 	: 3300원이요?
P0 	: 인력거인가
P1 	: 가격도 빠르네요
P0 	: 아 완전불편하네요 옆자리사람잇어섴ㅋㅋㅋ
P1 	: 막걸리도 드세요?
P0 	: 점심먹었으니 졸려죽겟네요
P0 	: 커피한잔하시죠
