# FILE DATA
ID : MDRW2100002438
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 학교 다닐 때 과제 잘 하셨나요?
P0 	: 전 사실 잘 안했습니다ㅎ
P0 	: 어린시절 숙제도 잘 안했어요
P1 	: 아 ㅎ 어린시절에 저도
P1 	: 방학숙제는 밀리기 일수였죠
P0 	: ㅎㅎㅎ 사람 사는 거 다 똑같죠
P0 	: 그 중에 일기가 제일 싫었어요
P1 	: 정말... 일기는.... 최악이죠
P1 	: 그래서 매잉 밀려썼어요 ㅎㅎ
P1 	: &name1&님도요?
P0 	: 맞아요ㅋㅋ
P0 	: 그리고 날씨생각안난다고 안썼어요
P0 	: 날씨 그게 뭐라고 그거 부터 삐끗하면 쓰기싫어져요
P1 	: 아 너무나도 공감입니다
P1 	: 지금 생각하면 일기 쓰는 걸 왜이리 싫어했는지 ㅎㅎ
P1 	: 숙제라 그랬나봐요
P0 	: 약간 그것도있어요
P0 	: 내 생각을 누가 훔쳐보는기분
P0 	: 그게 좀 싫었던것도 있어요
P1 	: 맞아요 선생님이 검사했는데
P1 	: 지금 생각해도 의아하네요
P1 	: 일기숙제 검사라니...
P0 	: 그게 약간 생각발달?이런거랑 맞춤법 검사한다고 했던거같은데
P0 	: 의도는 좋으나.. 음...ㅎ
P1 	: 아하 의도는 좋지만 정말 별로인 숙제에여 ㅠㅠ
P0 	: 맞아요
P0 	: 아마 다시 돌아가서 쓰라해도 전 잘 안쓸 거 같아요
P1 	: 오 그런 패기 좋네요 ㅎ
