# FILE DATA
ID : MDRW2100004746
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 반려동물을 키우시나요?
P1 	: 주위에 어떤 색상의 털을 가진 동물이 있나요?
P1 	: 저는 주위에 반려동물키우는 지인이없어요
P1 	: 그래서 유튜브봐요
P1 	: 우유모카 메주네고양이들 하하하 하오 관찰남 달려라달리 진돌tv 망치와응팔
P1 	: 어서
P1 	: 말해봐요
P0 	: 진정하새요
P0 	: 어릴때 거북이키웠어요
P0 	: 이름은 &name3&였어요
P1 	: 거북이???????
P1 	: 이름이 &name3&인 거북이???
P0 	: 완전귀엽죠
P1 	: 머리가매끈할꺼같아요
P1 	: 하지만 궁금해요
P0 	: 매끈해요
P1 	: &name3&어디갔어
P0 	: 그런일이잇엇죠..
P0 	: 그렇게됐습니다...
P1 	: 돌려줘...
P0 	: 당신 지뢰밟았어
P1 	: 왜주제를...이런걸로 ..
P1 	: 아닙니다....
P0 	: 킄..킄...
P1 	: 특별한...동물을 키우셧군요
P0 	: 아무튼 &name3&가진짜귀여웠거든요
P0 	: 따뜻한물에 넣어주면
P1 	: 킼킼ㅋ킼
P0 	: 애가 잠을
P0 	: 자
P0 	: 하..참나 진짜귀여웟었는데
P1 	: 나쁜말한적없어
P1 	: 설마저부분?
P1 	: 자지않아요
P1 	: 보지않아요
P1 	: ???
P0 	: 그렇군요...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 거북이채널도 보시나요?
P1 	: 추천좀해줘요
P0 	: 아니요
P1 	: 당신뭐야
P0 	: 그런거죠
P1 	: 사실 당신이 거북이 얘기를해서 혹한 척한거야
P1 	: 저는 뽕주댕이를 가진 동물만
P0 	: 참내
P1 	: 좋아해요
P1 	: 매끈머리는 좀 끌리긴해
P0 	: 거북이 입이
P0 	: 얼마나
P0 	: 귀엽고무시무시한대
P0 	: 그리고 일광욕시켜줄려고 낮에 자주 마당에 데리고나갔었어요
P0 	: 귀얍죠?
P1 	: 거북이는 물을좋아해요
P1 	: 동물학대범
P1 	: 산책도 시키다니 정말 친절하시군요!!~
P0 	: 일광욕을해야한다고요
P0 	: 당신도 일광욕을해야해요
P1 	: 저는 곰팡내 나는 인간일뿐이에요
P1 	: 귀엽지않은 것은 관리할 필요가없다구요
P0 	: 곰팡이인간
P0 	: 반려곰팡이인간
P0 	: 친구네 집 강아지이름이
P0 	: &name4&거든요
P0 	: &name4&가진짜너무귀여워요
P0 	: 애가 사람엄청좋아해서 만나면
P0 	: 10분은 예뻐해줘야
P0 	: 진정해요
P1 	: 하
P1 	: &name4&
P1 	: 혹시 검은털 메인에 뽕주댕이와 가슴에 흰털이 박힌 귀여운 아기곰같은 친구인가요?
P1 	: 혹시 귀가 세모에 포도젤리 발바닥을 가지고 사람이 오면 활짝 웃는 단모종인가요?
P1 	: 저는 사랑에 빠진거같아요
P0 	: 변태같아요
