# FILE DATA
ID : MDRW2100047679
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 닉으로 불러
P0 	: 아놔
P1 	: &name1&아~
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 하 쓰읍
P0 	: 님 게임개발했는데
P1 	: 스포츠 게임하는데 맥북에 라면 쏟음 vs 져서 난리치는거 전 세계에 생중계됨
P0 	: 모든사람이 다 하는데 평점 1점 + 악플 가득 VS 그냥 망겜. 아무도 안함
P1 	: 명성은 악명만 얻음
P0 	: 아;
P1 	: 코리안 크레이지 우먼이라고
P0 	: 사전 차단해주시네
P0 	: 하 큰일이다 이젠 진짜다.
P1 	: 1번이 낫죠 1번은 돈이라도 들어온다
P1 	: 악플 달달하다
P0 	: 아
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ-ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅌㅋㅋㅌㅋㅋㅋㅋㅋㅋ저...저는 스읍 맥북아 잘가라.
P0 	: 미안하다...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 오캐 맥북을 버린다
P0 	: 지못미 라고 알지 모르겠다 요즘 맥북들...
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 지못미라고 겜에서 치면
P0 	: 아 할머니~~~!! 요즘애들은 그거 모른다고요~~~!!
P1 	: 할미라는 소리 듣기 vs 먼 말인지도 몰라서 반응 없기
P0 	: 하는 동년배 할머니....있다고요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 할미 #가보자고
	  할미...게임 잘하지?
P0 	: ㅋㅋㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
