# FILE DATA
ID : MDRW2100011893
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 솔직히
P1 	: 애 낳은 친구하고
P1 	: 예전처럼은 못지낼 것 같아요
P0 	: 아 저도요
P1 	: 아무래도 그 친구는 애가 있으니까
P0 	: 이제 너무 다른 세상의 사람아닌가요
P1 	: 맞아요
P1 	: 다른 세상
P0 	: 이제 그 친구의 일거수일투족이 그 애한테 향해잇어서
P1 	: 애가 있으니까 제약이 더 많을테고
P1 	: 맞아요 항상 애가 같이 잇는 느낌이라
P0 	: 예전의 관계가 가능하긴 어려울거같아요..ㅠ
P0 	: 저는 그 애랑은 친구가 아니잖아요 ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ맞아욬ㅋㅋㅋㅋ
P1 	: 근데 그만큼 친구도 서운할테고
P0 	: 맞아요..
P0 	: 글고 공통분모도 너무달라져버려서
P1 	: 안그래도 힘들텐데
P1 	: 근데 제가 그 서운함을 해결하는 데는 한계가 있을것 같아서
P1 	: 이야기하는 주제가 달라지겠죠ㅜ
P0 	: 임 신 출 산 육 아 talk 하고싶지 않아요
P1 	: 맞아요
P1 	: 앜ㅋㅋㅋㅋㅋ
P1 	: 왜 그런건지
P1 	: 육아 이야기하면
P1 	: 전 백퍼 남편 이야기가 나올것 같아서
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 아 맞아요 ㅋㅋㅋㅋㅋㅋ
P0 	: 둘이 얘기하지 어쩌란 말이냐~~
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 내가 애낳으라햇냐~~
P1 	: 남편은 뭐 하냐
