# FILE DATA
ID : MDRW2100015457
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 제주도 여행 가본 경험 있어요?
P0 	: 제주도 여행 진짜 애기때가서 기억에 남는게 ㅂㄹ없네요
P0 	: 성인때 가보고싶어요
P1 	: 악 ㅋㅋㅋ 그렇구나..
P0 	: 가보셨어요?
P1 	: 네ㅜㅜ 저 거기 고기국수 진짜 맛있게 먹었어요
P0 	: 맛있는데 많데요 ㅋㅋ
P0 	: 오 고기국수
P0 	: 흑돼지도맛있어요?
P1 	: 흑돼지 진짜 미쳐요
P1 	: 제주도에서 현지인 추천 식당 갔는데 와....
P0 	: 오오오
P0 	: 와
P0 	: 침고인다
P1 	: 진짜 와....
P1 	: 제주도에서 먹은 거 다 맛있게 먹었어요. 단 막걸리 빼고 ㅠ
P0 	: 고기국수랑 흑돼지중 뭐가 더맛있나요? ㅋㅋ
P0 	: 제주도 단막걸리는 제외ㅋㅋㅋ
P1 	: 둘 다 진짜 맛있어서 우위를 가릴 수가 없어요
P1 	: 밤막걸리 땅콩막걸리 등등 다 별로였어요 제겐..
P0 	: 와 둘다 꼭 먹어볼게요 ㅋㅋㅋ
P0 	: 제주도 카페도 핫플레이스 많다는데 가봤나요?
P1 	: 애월 카페~
P1 	: 제주도 가면 인스타용 카페 ㅋㅋㅋ꼭 필수코스라고..
P0 	: 오 들어본거같아요 완전 명소 ㅋㅋ
P0 	: 맞아요 인스타용 카페 ㅋㅋㅋ
P1 	: 카페가 예쁘긴 했어요 막 배경이 바다고 그래서.. 근데 주차가 진짜 헬이였어요
P0 	: 아 주차헬인것도 어디서 들은거같은
P0 	: 뷰가 최고라고
P0 	: 맛은 그닥이죠?
P1 	: 진입로가 두군데인데 그 두군데에서 차가 들어오면 가운데에서 오도가도 못하게 막혀요 ㅋㅋㅋㅋ
P1 	: 1차선 도로 헬..
P0 	: 헐 주차가 불편하네요
P1 	: 뷰는 진짜 예쁘긴 했어요...
P0 	: 와 그거 어디서 읽은거같은 그래서 싸움난다고 주차하다가
P1 	: 바로 옆에 바다가 진짜 에메랄드 빛..
P0 	: 와 그래도 가고싶네요
P1 	: 아마 아기때의 제주도보다 지금의 제주도가 훨씬 좋을거에요
P1 	: 요즘 비행기값도 싸니 꼭 가보길 바라요!
P0 	: 네!!
