# FILE DATA
ID : MDRW2100012134
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 경남
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 충남
current_residence : 서울
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 겨울이 기다려지네요
P1 	: 당근으로 찾아서 붕어빵 구매하기..
P0 	: ㅋㄱㅋ귀여우세용^.^ 맛난거 사먹는 재미도 좋죠~
P0 	: 겨울엔  군고구마도 짱이죠 ㅋ
P1 	: ㅋㅋㅋㅋㅋ군고구마 좋죠
P1 	: 역시 세상에서 젤 재밌는건
P1 	: 물건구매인가봐요..돈쓰기
P0 	: ㅋㅋㅋ 맞아요
P0 	: 근데 주변에 중고거래도 활발하게 하시는 분 보면
P0 	: 중고도 잘만사면 너무 이득인거같아요
P1 	: ㅋㅋ맞아요 다들 어디서 그렇게 잘 사는지
P1 	: 저는 집에 선풍기가 하나 생겨서
P1 	: 그거를 당근으로 팔아볼까 생각중이예요
P0 	: ㅋㅋㅋ너무 신기한데 저는 잘안되네요ㅜㅜ 당근도 약속잡다 폭망..ㅠㅠ
P1 	: 근데 여름이 다 지나가네요..
P0 	: 네 이제 쇼핑할때죠
P1 	: 당일에 약속 어기시는 분도 계셨어요?
P0 	: 가을옷ㅍㅎㅎㅎㅎ
P1 	: 가을옷 사야해요 금방 추워질꺼같아용
P0 	: 아니요  서로 계속 일이있어서 이리옮겼다 저리옮겼다 시간옮기다보니  너무 지쳐서 그냥 취소했거든요
P0 	: 계속 이렇게 신경쓰느니  분리수거해버리는게 낫겠다싶어서요ㅠ
P0 	: 전 차라리 중고나라가 편했어요
P0 	: 다만 택배비가 슬플따름이죠
P1 	: ㅠㅠㅠㅠ아 중고나라는 택배로 보내만 되니까 속편해요
P1 	: 이리저리 시간 바꾸면 다른분만나거나
P1 	: 차라리 그냥 취소하는게 맘편할거같네요ㅠㅠ
P0 	: 그쵸 그래서 그냥 취소하고
P0 	: 당근 어플삭제했어요
