# FILE DATA
ID : MDRW2100025846
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 세븐틴
P0 	: 아니 셉무슨일이야
P1 	: 중멤들은 어딜가나 고통...
P1 	: 중국 중심 활동이라니ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 이거 중국에서
P0 	: 못하게한거아닐까
P0 	: 이제중국 공구 어려워진다던데
P0 	: 블핑 공구그래서 엎어졌다고
P1 	: 중국 공구 열리긴 하는데 전처럼 수량공개는 못할듯ㅜㅜ
P0 	: 그런제한들에 영향이
P0 	: 없지않을것같아
P0 	: ㅎㅎ 근데 중멤들은
P0 	: 홍콩이나 남중국해도 그렇고
P0 	: 우리나라두문제생기면
P0 	: 중국지지한다구올릴듯
P0 	: 지금까지 별 일이 없어서 안올렸던것뿐..
P1 	: 중멤들 진짜 노답이야..... 제발 입 다물어의 표본
P0 	: 스엠 제발 중국좀버려
P0 	: 웨이션인가 거기는 난리던데
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 거긴 우선 루카스부터...
P0 	: 루카스인가
P0 	: ㅇㅇ
P0 	: 그러고보니 둘기쓰
P0 	: 오리지날둘기 크리스
P1 	: 찬열+돈안씀
P1 	: 더 악질이여
P0 	: 사형까지도 본다며
P0 	: ㅇㅇㅇㅇㅇ ㄹㅇ
P0 	: 더악질
P1 	: 그래도 걔 국적이 외국이라
P1 	: 사형까지는 안갈거같다고 하더라
P0 	: 아하...
P0 	: 캐나다사람이었지
