# FILE DATA
ID : MDRW2100026861
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 집안일 하실때 가장힘든것은?
P1 	: 화장실청소?
P0 	: 음 설거지요 ㅋㅋㅋ
P1 	: 아아ㅎㅎ
P1 	: 요리잘하시니깐
P0 	: 요리하는것 좋은데 피곤하면  치우기가 싫어요
P1 	: 많이나오시는편이에요?
P1 	: 아아ㅎ
P1 	: 피곤하면그렇죠ㅍ
P0 	: 많이 앙나와도 그냥 배부르면 귀찮을때가 ㅎㅎ
P1 	: 근데 일하고오면 치우기 싫잖아요ㅎ 남편분이 안도와주세요?
P0 	: 음 육아가사 독박이에요 일이 바빠서
P1 	: 아아
P1 	: 그러시구나ㅎ 그래도 일바쁜게 좋잖아요
P0 	: 음 글쵸 뭐 ㅎㅎ
P1 	: 그만큼 연봉도 높으실꺼고ㅎ
P1 	: 일이많다는거는 능력이되신다는거니깐 ㅎㅎ
P0 	: 중소기업이  비슷비슷하죺ㅎㅎ
P1 	: 저 다시태어나면
P1 	: 여성으로ㅎㅎ
P1 	: 설겆이 엄청 잘해요ㅎ 청소도ㅎ 육아도 잘할 자신있음요ㅎ
P0 	: ㅎㅎㅎㅎ
P0 	: 전 그냥  뭐가됏든  자유롭게 살고 싶네요 ㅋ
P1 	: ㅎㅎㅎㅎㅎㅎ
P1 	: 너무독박육아를하셔서 그런가보다ㅎ
P0 	: 육아하는분들의 답이 거의 이거에요 ㅋ
P1 	: ㅎㅎㅎ 전 아이랑 평생살고싶어요ㅎ
P1 	: 여자가 되고싶다는것도
P0 	: ㅎㅎㅎㅎ네넹
P1 	: 돈걱정없이
P1 	: 아이랑같이 있는 시간이 기니깐ㅎㅎ
