# FILE DATA
ID : MDRW2100040474
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 음음
P0 	: 내가 좀 애교쟁이긴 한데
P0 	: 엄마랑 아빠도 애교쟁이긴 해
P0 	: 그래서  셋이 애교부려 (?)
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 넘나 바람직한 가족의 모습#~~
P1 	: 나는 가족한테만 애교없고
P1 	: 부모님은 찐경상도분이라 모두에게 애교가 없고
P1 	: 총체적난국인 집안
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋ
P0 	: 아 진짜???
P0 	: 내가 그 때 뵈었을 때는
P0 	: 되게 애교 많아 보이셨는데!!!
P0 	: 아 경상도분들이시구나~~~!!!
P1 	: 귀한 손님 오셔서 일년치 애교 끌어쓰신거야
P1 	: ㅋㅋㅋㅋㄱㅋㅋㅋㄱㅋ
P0 	: 아 진짜 웃기다
P0 	: 아니 뭐가 나쁜말이란거임!!!!
P0 	: 두 분 되게 사이 좋아보이셔서
P0 	: 와 민덩이네 되게 도란도란하다고 느끼고 왔다능
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 그렇구나 ㅎㅎㅎ
P0 	: 민덩이는 하말하않인거니!!!
P0 	: 그리고 어머니 아버지 두 분 다 젊으셔서 부러워 8ㅅ8
P1 	: ㅋㅋㅋㅋ긍정적해석 고마오:)
P0 	: 으하하하
P0 	: 지금 일어났다네~~~
P0 	: 11시에 성당을 다녀올 예정이야!!
P1 	: 잘 다녀와~~
P1 	: 가족이랑 같이가?
P0 	: 원래 같이 가는데
P0 	: 아직 엄마가 안일어나서
P0 	: 나 혼자 다녀오려구!!
P0 	: 아빠랑 엄마는 저녁에 가야할거얏
P1 	: 그렇구만 !!
P0 	: 나는 저녁에 약속 있어서 응응
P1 	: 오늘 날씨 진짜 좋다
