# FILE DATA
ID : MDRW2100021537
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 우와 처음 해보는 주제예요!
P0 	: 제가 원래 책을 진짜 안읽었는데
P0 	: 언제부턴가 독서의 필요성을 느꼈답니다!
P1 	: 언제 느끼셨나요? 어떻게 느끼셨어요! ㅋㅋㅋ
P0 	: 제가 정말 좋아하는 친구 중에
P0 	: 침착하고
P0 	: 말실수 잘 안하는 아이가 있는데
P0 	: 왜 그런고 하니
P0 	: 독서를 하면 생각이 잘 정리가 된다고 하더라구요?!
P0 	: 그 말을 듣고 저도 종종 책을 빌려보게 되었어요 ㅎㅎ
P1 	: 아 제가 딱 부러워하는 유형의..!
	  차분하고 조곤조곤 얘기하는데 말에 힘있는 사람 너무 좋아요ㅠㅠ
P1 	: 저도 갑자기 독서의 필요성을 느끼게 되었습니다 ㅋㅋㅋㅋ
P0 	: 그쵸그쵸!!!
P0 	: 그리고 제가 집중력이 안좋은 편인데
P0 	: 책 읽고나서부터... 집중력이 조금 좋아졌어요 ㅎㅎ
P0 	: 근데 저도 그 유명한 정세랑 작가 책도 아직 안읽어봤네요
P1 	: 보건교사 안은영이랑 시선으로부터 읽어봤어요!
P1 	: 시선으로부터는 참 생각이 많아지는 내용이었어요 ㅎㅎ
P0 	: 우와
P0 	: 저는 안은영 그냥 넷플릭스로만 봤어요... (쭈글)
P0 	: 맞아요 시선으로부터...!
P0 	: 왠지 저희 결이 같은 느낌인데요?!
P0 	: 저는 비록 안읽었지만
P0 	: 정세랑 작가 책 읽으신 분들이 좋더라구욬ㅋㅋㅋ
P1 	: 반가워요! 저도 좋아하는 선생님이 추천해주셔서 읽게 됐어요 ㅎㅎ
P1 	: 문체도 잔잔하고 친구분도 그런 느낌일 것 같아요 ㅎㅎ
P0 	: 헤헤 맞아요 ><
P0 	: 오오 좋아하는 선생님께서도 책을 즐겨 읽으셨나봐요!!
P1 	: 문학 선생님이셔서 책과 늘 함께하세요 ㅎㅎ
P1 	: 역시 책 읽는 사람한테는 배울 점이 많은 것 같아요 ㅎㅎ
P0 	: 우와 그러시군요! 너무 멋져요!
P0 	: 저 어렸을 땐 만화잡지만 사서 읽었는데....
P0 	: 이제 잡지는
P0 	: 미용실에서 머리할 때만 읽는 것 같아요 ㅋㅋㅋ
P1 	: 저는 잡지에서 별자리나 운세 보는 거 좋아했어요 ㅋㅋㅋ
P0 	: 앗 저도요!
P0 	: 그거랑
P0 	: 잡지사에 엽서 보내면 선물 주고 그러는거
P0 	: 한 번도 당첨된 적은 없지만 ㅋㅋㅋ
P0 	: 종종 보내곤 했답니다
P1 	: 그거 당첨되는 사람 진짜 본적이 없는데
P1 	: 되기는 하는거였을까요 ㅎㅎ
