# FILE DATA
ID : MDRW2100011816
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 일상 트렌드>재택근무 일자리

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 재택근무 해보셨나요?
P1 	: 네 재택알바도 재택근무로 치면요
P1 	: 옥돔님은요?
P0 	: 요즘은 아니고
P0 	: 회사 다닐때
P0 	: 확장이전한다고 해본적있어요
P1 	: 그러시군요
P1 	: 재택근무하면 직장이랑 먼곳에 살아도 될거같아요
P0 	: 저는 재택근무 안맞아요
P0 	: 집중이 잘 안돼요
P1 	: 아.. 그러시군요
P1 	: 그게 문제네요
P0 	: 일하는건지 쉬는건지 구분이 안돼요
P0 	: 정신차리느라 시간을 다잡아먹네요
P0 	: 수미님은 집에서 일잘되시나요?
P1 	: 저는 알바만 해본거라 애매한데요
P1 	: 공부를 일로 생각해보면.. 집은 편차가 큰거같아요
P0 	: 수미님은 집중안되실때 어떻게 하시나요?
P1 	: 독서실이나 학교에서 하면 그럭저럭하게는 하는데 정말 집중해서 잘되는 곳은 집 같더라구요. 집을 일하는 모드로 꾸며놓고 밖에서처럼 옷입고 하면 좋을거같아요
P1 	: 그냥 멍때리거나 쉬어요 잠자거나요
P0 	: 저는 산책해요 확실히 뇌가 휴식이 돼서요
P1 	: 산책 좋죠
P1 	: 저는 뭘 하다보면 과부하되어서 쉬어야겠다 싶은 순간에
P1 	: 미련하게 계속 붙들고 있게 되더라구요
P0 	: 저도요
P0 	: 아직 못고친 습관인데
P1 	: 저만 그런게 아니네요
P0 	: 그러다 번아웃 오더라고요ㅋㅋ
