# FILE DATA
ID : MDRW2100010170
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 남성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아냐 괜찮아ㅎ 아무거나해도 돼 나는 그냥 이말은 꼭 해주고 싶었어서 ㅎㅎ
P0 	: ㅋㅋㅋㄱ 고마워!  뭔가 뿌듯하네ㅋㅋㅋ
P0 	: 아까 대화했던거랑 이어서
P0 	: 나같은 경우에는 강아지를 키웠다기보단 한달정도 친구네 강아지 맡아서 돌봐줬는데
P0 	: 대소변 치우는것만 아니면 다 좋았어
P0 	: 같이 나가서 운동하는것도 좋고
P0 	: 간식 사왔을때 잘 먹는것도 좋고
P0 	: 너는 어떨 때가 좋았어?
P1 	: 난....
P1 	: 내옆에서 자고있을때..ㅋㅋ
P1 	: 인형같아 숨쉬는 인형
P0 	: ㅋㅋㅋㅋㅋㅋ 잠 잘 잘때도 너무 이쁘지ㅋㅋ 그것도 사고 한창 치고나서 잘때
P0 	: 약간 화났다가도 이뻐서 웃음이 나와ㅋㅋㄱ
P0 	: 난 내가 키우는것도 아니었는데 그랬다니까;;
P1 	: 너무 예뻐ㅎ 느껴지는 따뜻함과 숨소리 모두좋다
P0 	: 맞아ㅋㅋㅋ 뭔가 옆에 있는걸로도 마음이 뽀송해 이게 진정한 애니멀테라피!
P0 	: 그런데 푸들은 산책은 어떻게해? 다른 견종들 특히 몇몇 친구들은 산책 많이 해야지 스트레스 덜 받는다는데
P0 	: 너희집 친구도 그래?
P1 	: 요즘 못해서 집에서 놀아주고있어ㅋ 공던져주기 같은거
P0 	: 오 막 공 던지면 잘 물어와?? 아휴 내가 지금 일하면서 하다보니까 대답이 늦어지네ㅠㅠ
P0 	: 진짜 영상이나 사진 못 올린다는게 너무 아쉽다  노는것도 영상 보고싶은데ㅠㅜ
P1 	: 고럼~ 어릴땐 너무 귀여웠는데 지금은 너무많이 컸어ㅋ
P0 	: 그래도 지금 봐도 귀엽지?ㅋㅋㅋ 아 계속 얘기하고 싶긴 한데 내가 일때문에 자꾸 늦게 봐서 너무 미안하당... 여기까지만 하구 
P0 	: 헉 많이 얘기했다구 생각했는데
P0 	: 아직 별로 안됐었네 내가 텀이 길다보니 많이 했다구 생각했나보당
P0 	: 간식은 주로 뭘 먹어? 몸이 그렇게 큰 애가 아니니까 막 큰거 뼈 같은건 못먹지?
P0 	: 전에 애견간식랩 가니까 무슨 뼈같은것도 간식으로 팔더라고...! 진심 놀랬다니까
P1 	: 앗... 알림이 안와서 몰랐넹ㄷㄷ
P1 	: 큰뼈는 아니고 작은뼈!
P0 	: 내가 본 뼈는 손가락 두개를 옆으로 붙인듯한 크기였는데 원재료의 동물?이 되게 큰 동물이였던걸로 기억해
P0 	: 근데 닭뼈같은건 먹으면 안되는데
P0 	: 다른 뼈들은 괜찮은거야?
P0 	: 똑같이 부숴지면 위험하지 않아?
P1 	: 닭뼈는 생닭은 괜찮아!
P1 	: 생닭을 조각내서 뼈채로 주면 영양식!
P1 	: 근데 튀긴 닭뼈는 씹을때 뾰족하게 조각나서 위험
P0 	: 정말? 처음 알았네 튀겨지면 뼈가 약해져서 뾰족하게 부러지는 걸까?
P0 	: 그래도 생닭은 영양식이라니 좋네...!
P1 	: 응응 ㅎ 그치만 혹시 몰라서 나는 그렇게 안주고있어ㅋ
P0 	: 하긴 혹시나 했다가 위험해지면 큰일나지...
P0 	: 그리고 궁금한게 있는데
P1 	: 응!
P0 	: 강아지 목욕 후에 이주일도 안되서 냄새나면
P0 	: 다시 목욕시켜줘야하지 않아?
P0 	: 냄새나도
P1 	: 보통은 샤워가 2주 턴인데
P1 	: 강아지는 피부가 약해서
P1 	: 한달에 한번정도가 좋고
P1 	: 냄새는 샴푸를 바꾸거나 귀에서 냄새가 제일많이 나니까 귀청소만 해주고
P0 	: 아하
P1 	: 강아지용 향수도 있어서 그거 쓰면댕ㅎ
P0 	: 아 다른 방법이 있구낭...
P1 	: 웅웅ㅎ
P0 	: 차마 그 친구한테는 강아지 냄새나는데
P0 	: 씻기면 안되냐고 할 수 없었어...ㅋㅋㄱㄱ
P0 	: 그때 잠깐 같이 살았는데 그것때문에 좀 힘들었거든
P0 	: 배변패드 깔아도 안둔 곳에 대소변 싼다거나 하는거랑
P0 	: 이거 말곤 다 좋았는데...ㅋㅋㄱ
P1 	: 강아지에게 좋은 향이 나길 바라는건
P1 	: 인간의 욕심 이랄까...ㅎ
P0 	: 역시 그렇겠지...  사람한테도 안좋은 체취가 날 수 있는데 동물들은 그걸 못 말하니까 그냥 냅두는 경우도 있을테고...ㄱㅋㅋ
P0 	: 와 이렇게 강아지 목욕에 대한 궁금점이 풀렸어!
P1 	: 다행이당!
