# FILE DATA
ID : MDRW2100016475
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 어디나 완벽한 곳은 없군요
P0 	: 맞아요 ㅜ
P1 	: 이럴땐 유교사상 빡센 한국이 나아보이네요
P1 	: 여기도 만만치는 않지만요
P0 	: ㄹㅇ 적의 적은 동지에요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 프랑스랑 독일 국경 닿아잇어서주말마다
P0 	: 프랑스 남자들이 독일로 성ㅇ매매 여행 온대요 ㅋㅋㅋ
P1 	: 와 역겨워욬ㅋㅋㅋㅋ
P0 	: 그래서 국경마을이 성ㅁ매매가 그렇게 활발하다고
P1 	: 역시 국적 안가리고 남들은
P1 	: 놀랍네요
P1 	: 깨끗한척하지만 본질은 같은 것 같아요
P0 	: 비혼 결심 +1
P0 	: 맞아요 왜 그모양일까요
P0 	: 저는 성ㅇ매매 돈아까워서라도 안할거같은데
P0 	: 쪽팔림이 없는것도 신기하고
P1 	: 맞아요
P1 	: 공공연하게 다 하고 다녀서그런지
P0 	: 그게 수치스럽지 않은걸까요
P1 	: 단체로 돌았죠
P0 	: 단체로 돌아서 그런거군요 ㅋㅋㅋㅋ 그리고
P0 	: 인류의 가장 오래된 직업이 성ㅇ매매다
P0 	: 이럴때도 빡쳐요
P1 	: 어차피 성매매하는 여성들더 있고
P1 	: 아 진짜요
P1 	: 자신들은 상품을 구매하는거다
P1 	: 이러는거 아닐까요?
P0 	: 맞아요 무슨 상품평 쓰듯이
