# FILE DATA
ID : MDRW2100021791
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 제주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 흠 저는 주로 그거만 보는데
P1 	: 슬의생2요
P1 	: 슬기로운의사생활이라구
P1 	: 아시나요
P1 	: jtbc 껀데
P0 	: 티비엔거아니었어요?!
P1 	: 아맞다 티비엔이예요
P0 	: 시즌1은 봤어요!
P1 	: 티빙에서 친구아이디로 봤어요
P1 	: 시즌1이 더 재미있긴 해요
P0 	: 저는 끝나면 몰아보려구뇨!
P0 	: 끝나가나요?
P1 	: 그리고 영드 셜록 좋아합니다
P1 	: 네 그런데 스포할만한 내용은 없네요
P0 	: 셜록 봤어요!
P1 	: 증말 잘생김을 연기하는 ..
P1 	: 추리물 다 좋아하는데
P1 	: 왓챠같은거
P1 	: 가입된거 있으세여
P0 	: 왓챠 넷플 티빙 써요!
P1 	: 와 대박
P1 	: 셋다여?
P0 	: 네 ㅋㅋㅋ  친구들이랑 나눠씁니다 ㅋㅋ
P1 	: 종이의집 보셨어요?
P1 	: 아 이해가 갑니다
P0 	: 아니요 ㅜㅜ 재밌다고는 들었어요
P1 	: 서로서로 상호보완이되니까
P0 	: 닥터후 보셨어요?
P1 	: 근데 종이의집은 좀 잔인하기도 해요
P1 	: 닥터후
P1 	: 아 괴팍한 아쩌씨
P1 	: 맞죠
P0 	: ㅋㅋㅋㅋ 전 추리물보단 닥터후쪽이 맞더라구요 ㅋㅋㅋ
P1 	: 오 그런쪽도 잼나죠
P1 	: 천재 괴짜
P1 	: 그런 컨텐츠는 항상 뭔가 특별하게 생각되서 보게되요
P1 	: 빅뱅이론 이란 미드는 어떠세요
P1 	: 보신적 있으신가여
P0 	: 헐 너무 재밌게봤어요!
P0 	: 근데 뒷시즌으로 갈수록 좀 노잼이라 놨어요 ㅜ
P1 	: 맞아요 뒤로갈수록
P1 	: 결혼하고 어쩌구 하니까 재미가 없어졌는데
P1 	: 쉘든어머니가 그러시자나요
P1 	: 세상은 잘난척하는 사람보다 잘난사람을 더 재수없어 한단다
P1 	: 진짜 우꼈어요
P0 	: ㅋㅋㅋㅋㅋㅋ 똑똑똑 페니! 이거 기억나요 ㅋㅋ
P1 	: 아진짜 그런 친구가 있으면 어떨까요
