# FILE DATA
ID : MDRW2100035337
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 단모음

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아들은 이런 고민이나 기분 안느낄거란 생각하면 씁쓸하네요
P0 	: 그러고보니 아들이 달란 요리도 더 많이 만들어 준 것 같아요
P0 	: 제 피해의식일수도 있지만요,,,
P1 	: 아이고
P1 	: 이런 하나하나가 불평등인거죠
P0 	: ㅜㅜ 이걸로 음식얘기하다가 너무 아이고 얘기를,,ㅋㅋㅋ 다른 음식얘기 해요 ㅋㅋㅋ
P0 	: 생각하니 슬퍼지네요 ㅠ
P1 	: 네 그럴까요?
P0 	: 증여도 아들 백분의 일도 못받았는데 밥이라도 잘 먹어야겠어요!
P1 	: 맞아요
P1 	: 먹는게 다 힘이고
P1 	: 잘 살아가면 되는거죠!
P0 	: 그럼요 그럼요 잘 먹어야해요 ㅋㅋㅋ
P1 	: 오늘 저녁은 뭐 드실생각이세요?
P0 	: 저녁은 아직 안정했고 지금 과일로 무화과를 먹고 있어요
P0 	: &name2&님은 오늘 과일을 드셨나요?
P1 	: 우와 무화과
P1 	: 아녀 전 과일 안먹었어요
P1 	: 집에 천도복숭아 있는데 먹을까 고민중이에요
P0 	: 맛있겠네요 전 천도복숭아같은 새콤한 과일이랑 크림치즈를 같이 먹는걸 좋아해요
P1 	: 대박
P1 	: 크림치즈요?
P1 	: 크림치즈라니
P0 	: 네 ㅋㅋ크림치즈는 빨리 안 먹으면 곰팡이가 너무 잘 펴서
P1 	: 먹잘알
P0 	: 빵에도 발라먹고 좀 어울리는 과일이랑도 먹고 꿀부려서
P0 	: 후딱먹어요
P1 	: 한번 같이 먹어봐야겠어요
P1 	: 와우
P0 	: 꿀을 뿌려서
P0 	: 어울렸던 과일은 무화과 천도복숭아구 복숭아보단 천도가 더 나았어요
P1 	: 오
P1 	: 집에 꿀도 있는데
P1 	: 먹어봐야겠어요
P1 	: 와우 진짜
P0 	: 살작 과일맛이 안달다 싶으면 꿀을 조금 뿌리심 고급 디저트맛이나요
P1 	: 먹잘알
P0 	: 아 살구랑 먹어도 맛있어요 ㅋㅋㅋ
P1 	: 음식에 조예가 깊으시군요
P1 	: 와우 살구
P1 	: 그러게요 꿀 뿌려먹을 생각을 안했네요
P0 	: 치즈 종류따라서도 다른ㄷ데
P1 	: 갑자기 생각보다 심심한 인생을 살고있었던것 같아요
