# FILE DATA
ID : MDRW2100041204
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: &name2&님은 가족구성이 어떻게 되세요?
P1 	: 부모님이랑 오빠가 두명 있어요!
P1 	: &name1&님은요ㅡ
P1 	: ?
P0 	: 저는 부모님이랑 남동생, 외할머니요
P0 	: 막내시네요
P1 	: 다 같이 사시는거에요? 대가족이시네요 ㅎㅎㅎ
P0 	: 외할머니는 지금 요양원이셔서 4명이 한집에 살아요
P1 	: 아 그러시군요! 저희 할머니도 요양병원에 계세요
P1 	: 참 나이 먹는게 슬퍼요..
P1 	: 안아프고 나이먹을순 없을까요 ㅠ
P0 	: 그쵸ㅜㅜ 나이들고 아프면 요양원에 모시게 되더라구요
P0 	: 몸을 좀 고쳐쓰고 싶어요
P1 	: 그러니까요ㅠㅠ 어쩔수없이 주변을 통해서 겪다보니까 제가 나이드는것도 무서워요
P0 	: 유병장수 무서워요
P0 	: 맞아요ㅜㅜ 건강할 때 죽고 싶다는 생각해요
P1 	: ㅠㅠㅠㅠ유병장수 진짜 최악의 말 ㅠㅠㅠ
P1 	: 저 그래서 안락사 알아봤었어요 ㅋㅋㅋㅋ
P1 	: 그냥 호기심이 크긴 했지만 어쨌든 궁금했거든요
P0 	: 저는 편하게 죽는 약 사진 저장도 해놨었어요ㅋㅋ 어디 다큐에서 보고
P1 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저희 왜이렇게 비슷해요 ㅋㅋㅋㅋ
P1 	: 진짜 편하게 죽을수 있대요?
P0 	: ㅋㅋㅋㅋㅋㅋ 이게 요즘 젊은이들??
P0 	: 아마 쉽게 구할 수 있는 약은 아니었을 거예요
P1 	: 뭐 치료약이에요?
P0 	: 아마 안락사 약물이었을 거예요
P1 	: 그럼 구하는게 거의 불가능하지 않아요?
P0 	: 그럴걸요, 편하게 구하면 너도나도 황천길 가려고 하죠
P1 	: 그쵸 그건그래요 그래야하구요ㅋㅋㅋㅋ
P1 	: 저는 그냥 저 보다도 부모님 나중에 고통을 줄여드리고 싶어요
P1 	: 본인이 원한다는 전제하에요
P0 	: 아, 맞아요 저흰 좀 남았다지만 부모님은 시간이 얼마 없죠
P1 	: 네 점점 약해져가는게 눈에 보이니까 그런 생각을 하게 됐어요
P1 	: 저희 제출하까용
P0 	: 넹! 우리 무슨 얘기 안해봤죠?
P1 	: 흐음 글쎄요? 했던거면 또 하면 돼죠 ㅎㅎ &name1&님이랑 대화하는거 즐거워요
P0 	: ㅋㅋㅋㅋㅋ 저도 재밌어요
	  저는 식음료 여행 일과직업 영상콘텐츠가 좋아요
P0 	: 아무거나 골라주세요
P1 	: 저는 여행 경험이 없어서 얘기 해주고 싶으시면 여행 해주세요 저 듣는거 잘해요!
P0 	: 넵 그럼 제출하고 바꿀게요
