# FILE DATA
ID : MDRW2100023635
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅇㅇㅋㅋㅋㅋㅋㅋs20이지만
P1 	: 여기서 도시 세개만 더 나와도
P1 	: 자신없음
P0 	: 22
P0 	: 나도 나름 최신폰인데
P0 	: 도시 세개가 뭐야
P0 	: 당장 하나만 더 업로드 돼도
P0 	: 버퍼링 장난 아닐듯
P1 	: ㅇㅇ
P0 	: 와
P0 	: 아직도 데이터 다운받는 중이야
P1 	: ;;;
P0 	: 내가 속도제한이 걸려있긴 한데
P0 	: 4기가 진짜 무시무시하다 ㅋㅋㅋㅋ
P1 	: 아니 진짜
P1 	: 용량 너무 커;;;
P0 	: 심지어 도시 하나 업데이트도 아니고
P0 	: 도시의 절반 업데이트 하는건데
P0 	: 4기가씩이나 필요할 일인가....
P1 	: 그니까.......
P1 	: 뭐가 좀 많이 열리는건가?
P0 	: 잘 모르겠는데...
P0 	: 섬2개랑 라이덴 전설퀘스트랑
P0 	: 1주년 기념 이벤트는 거의 다 증정이던데..
P0 	: ㅇ ㅏ
P1 	: 흠...
P0 	: 낚시기능 추가돼서 그런가??
P1 	: 아 헐
P1 	: 그런가
P1 	: 하긴 물에 이제 이것저것 추가하고
P0 	: 이거 이나즈마 뿐만이 아니라
P0 	: 몬드랑 리월에도 특산 물고기 있더라구
P1 	: 물고기 종류도 추가하고
P1 	: 그래서 그런가보다.....
