# FILE DATA
ID : MDRW2100045587
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 진짜 저한텐 평생 애기죠ㅜ
P0 	: 맞아요 저희도 부모님 조부모님한텐 나이가 아무리 먹어도 아기인것처럼요
P1 	: 그쵸그쵸 ㅎㅎ
P1 	: 몸만 다 컸지 다들 애기인거에요 ㅋㅋㅋ
P0 	: 맞아요
P0 	: &name3&이는 그럼 어떻게 만나게 된거에요?
P1 	: 맨처음 발견한건 제 친구가 아파트 단지 내에서 목줄 차고 돌아다니던 애를 발견했던 게 처음이었어요
P0 	: 목줄이 있었구나
P1 	: 목줄도 차고 있고 사람한테도 살갑게 대해서 누가 키우다 버렸거나 탈출했겠거니 하고 아파트 경비원께 부탁해서 몇차례 방송도 했는데도 주인이 안나타나더라는거에요
P0 	: 헐 뭘까요
P1 	: 근데 또 친구가 그때 고양이를 4마리 키우고 있었던데다 당시 기준으로 한두달 전에 아픈 냥이 데려와서 케어 중이었던 상황이라 다른 임보해주실 분을 찾아서 &name3&이를 맡겼었어요
P0 	: 헉 ㅠㅠㅠㅠ 상황이 어려웠네요
P1 	: 거기까진 괜찮았는데 임보하겠다고 데려가셨던 분이 그때가 초여름이었는데 본인은 주말에 여행가겠다고 집에 &name3&이 혼자두고 창문이랑 다 닫아두고 집을 비우셨던거예요...
P1 	: 그래서 임보하신 분이랑 제 친구쪽이랑 중간에서 다리역할 해주시던분이 걱정되서 가봤더니 애는 거의 탈수에 케어도 제대로 안되있고 병원 가봤더니 설사까지 하고 있어서
P1 	: 거기 더 두면 안되겠다 싶어서 일단 여력되는 제가 맡겠다 해서 데려와서 키우게 됐네요..ㅎㅎ..
P1 	: 제가 데려왔던게 8월 중순이었으니까 초여름도 아니고 한여름이었네요 아이고
P0 	: 아.......그런 사람이 왜 임보를..
P0 	: 큰일날뻔했네요
P1 	: 처음 길에서 발견했을때랑 임보 한 2주? 맡기고 나서랑 애가 너무 변해있어가지고..
P0 	: 하.... 진짜 왜그러지 자기한테 그랬어도 참을건가
P1 	: 맞아요..
P0 	: 말못하는 애라고 너무 .. 마음아팠겠어요
P1 	: 그래도 더 늦기 전에 알아채고 빼와서 다행이라고 생각하고 있어요ㅜㅜ
P1 	: 진짜 말 못하는 애들한테 함부로 대하는거 너무 화나요
P0 	: 진짜요..ㅠㅠㅠㅠ
P0 	: &name3&이도 너무 고생했네요ㅠㅠ
P0 	: 근데 쳐다도 안보구 이눔이 ㅠㅠ큨ㅋㅋㅋㅋ 귀여우니가 된거지만
P1 	: 그쵸 &name3&이가 제일 고생했죠 ㅋㅋㅋ
P0 	: 몹쓸 인간 분명 벌 받을거에요
P1 	: 이제는 아주 꿘강한 고양이가 되었답니닼ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ기특해요
P0 	: &name2&님 &name3&이 뒷통수에 뽀뽀 가능해요?
P1 	: 아주 굿고영굿고영
P0 	: 궁금 ㅋㅋㅋ
P1 	: 앟 완전 가능이죠
P0 	: 헐?
P0 	: 쟈가운 도시고영인데
P0 	: 가능하다니
