# FILE DATA
ID : MDRW2100002208
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 응 손목이 고생했지.
P1 	: 그 아이스크림은 맛있지만 아무래도 예전 일터라서 가기가 쉽지 않네.
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그립지는않아?
P1 	: 전혀 그립지 않아.
P1 	: 나는 그런 서비스직을 즐기면서 하는 사람들이 신기하네.
P0 	: 그때 어떤게 제일 힘들었어?
P0 	: 게임 같다는 사람들도 있더라
P1 	: 계속 서있으니 허리가 아프고
P1 	: 아이스크림을 푸면 손목이 아파.
P1 	: 그리고 혼자 일하는데 손님은 많으니까 손님들이 재촉해.
P0 	: 아아 앉아있을 수 없는 알바였지
P1 	: 가끔은 진상 할아버지 아저씨들도 온단다.
P0 	: 손님들은 성격이 너무 급해
P1 	: 밥 먹을 시간도 없었어.
P0 	: 그렇게 바쁘면 전날오든가
P1 	: 맞아.
P1 	: 제발. 전날 와.
P0 	: ㅠㅠ밥먹으면 보통 뭐먹었어
P1 	: 편의점에 가서 김밥을 사온단다.
P1 	: 가끔은 점장님이 사주시곤했지.
P0 	: 김밥 냄새나는건 괜찮아?
P1 	: 카드를 주셨지만 양심이 있어서 김밥만 사왔어.
P1 	: 문이 없고 병원 안이라 괜찮아.
P1 	: 가게에 문이 없었거든
P0 	: ㅠㅠ다시 돌아간다면 똑같이 김밥살꺼야..?
P1 	: ㅌㅋㅋㅋㅋㅋ그게 무슨말이야ㅠ
P0 	: 다시 돌아간다면 더 비싼걸 먹자
P1 	: 그래. 어차피 다시 돌아갈 일 없는 곳이니
P1 	: 다시 돌아간다면 앞뒤안보고 비싼 퀴즈너스를 먹겠어.
P0 	: 단호하네 엄청 힘들었나봐
