# FILE DATA
ID : MDRW2100022080
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅎㅎ 주제가 식사네요ㅎ
P0 	: 안자는 이유가 ㅋㅋㅋ  + 된게
P1 	: 왜욤?
P0 	: 아까 도넛츠 먹엇어요
P0 	: ㅋㅋㅋ
P1 	: ㅎㅎㅎ
P1 	: 당이 충전되셔서ㅎㅎ
P1 	: 달달한거좋아하세요?
P0 	: 배고파서 먹어서 양심상 소화는 되고 자야
P0 	: 아뇨 ㅋㅋ
P1 	: 아아ㅎㅎㅎ
P0 	: 간만네 먹어봣어요 ㅋ
P1 	: 달달한거는 먹을땐 좋은데
P0 	: 아 들리죠 살찌는 소리
P1 	: 나중에 꼳 후회를하니ㅎㅎ
P1 	: ㅎㅎㅎㅎㅎ
P1 	: 살이제 빼야겍어요ㅎ
P1 	: 오늘 가계부정리하는데
P0 	: 가을되면 다시 음식과의 전쟁 ㅋ
P0 	: 네넹
P1 	: 엄청 충격이엇음ㅎㅎ
P1 	: 식비가 넘청나더라구요ㄹ
P1 	: 이건뭐...
P0 	: 한달에 얼마!
P1 	: 음ㅎ
P1 	: 제월급을 넘어서
P0 	: 헐
P1 	: 120프로ㅎ
P0 	: ㄷㄷㄷㄷ
P1 	: 제가 쓴돈은 아니지만
P1 	: 저희집이 문제긴 문제네여
P1 	: 역시 돈이 아무리해도 안모이고 쌓여만간다더니
P0 	: 보니  &name2&님도 사고
P1 	: 오늘도 코인으로 5만원 벌었는데
P0 	: 어머님도 시장보시고 그러시는듯
P1 	: 이런 짜잘짜잘한것도 커버가안되요
P1 	: 우선 아내가 시켜먹으니깐요
P0 	: 아함
P1 	: 애기것도 반찬 시켜서먿으니
P1 	: 식비가 엄청나죠
P1 	: 빨리 이혼해서 제대로 돌려놔야겟어요
P0 	: 냉파가 없군용
P1 	: 그거해도ㅎ
P1 	: 안되요ㅎㅎ
P0 	: 긍데 3인인데
P0 	: 별로 안드실거 같은데
P1 	: 보통 배달시켜먹으면 얼마인지 아세요?
P0 	: 글쎄요
P1 	: 1번 배달에 5만원 이상이에요ㅠ
P0 	: 보통 인당 만원라먼 3만정도
P1 	: ㅎㅎ 그러면좋겟네요ㅎ
P1 	: 제가 관리를 안하니
P0 	: 아하하하 쎄긴 하네요
P1 	: 글죠ㅠ
P0 	: rere
P1 	: 이제 제가 해야죠ㅎㅎ ㄱㄱ요
