# FILE DATA
ID : MDRW2100009638
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경북
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 지금 연애중이신가요?
P1 	: 아뇨 저는 솔로입니다
P0 	: 그렇군요 소개팅 해보신 적 있으신가요?
P1 	: 소개팅... 없습니다 ㅠ
P1 	: &name1&님은요?
P0 	: 저는 2년 째 연애중이에요!!
P0 	: 대학교에서 만났어요 ㅎㅋㅋㅋㅋㅋ
P1 	: 오...!!!!
P1 	: CC인가요!!!!
P0 	: 앟ㅎㅎ 맞아요!
P0 	: 제가 19학번이고 오빠가 17학번인데
P0 	: 제가 엄청 들이대서 만났어요 ㅎㅎㅎㅎ
P1 	: 17이면
P1 	: 아 군휴학때문에...?!
P0 	: 아니 우리는 대학 특성상 졸업하고 군대를 가!
P1 	: 아..! 우리 대학이랑 비늣하네
P0 	: 새터에서 만났어 ㅋㅋㅋㅋ
P1 	: 엇 그러면 남자친구분은
P1 	: 졸업하신 거 맞ㅈㄱ?
P0 	: 응응 맞아~ 지금 직장인이야!
P1 	: 직장인이랑 연애하면 어때? ㅋㅋㅋㅋㅋ
P0 	: 앜ㅋㅋㅋㅋㅋ 근데 이제 직장인이라 모아둔 돈은 똑같아서
P0 	: 1~2년 되보면 알 수 있지 않을까?
P1 	: 그치... 그렇겠지?
P1 	: 결혼은 할 예정이야?
P0 	: 음 근데 나 아직 대학생이라서 모르겠어 ㅎㅎ
P0 	: 몇살에 결혼하고 싶어?
P1 	: 난... 결혼 안 하고 싶어
P1 	: 너는?
P0 	: 그렇구나 나는 결혼은 꼭 하고 싶은데
P0 	: 아이는 낳고 싶지 않아 잘 키울 자신이 없어서 ㅎㅎㅎ
P1 	: 헐 난 오히려 반대로
P1 	: 결혼은 자신 없는데
P1 	: 아이는 키우고 싶어
P0 	: 헐 진짜?
P1 	: 엉 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 애기는 근데 또
P1 	: 낳으려니 너무 힘들 거 뻔하고
P1 	: 안 낳으려니 나 닮은 애기 얼마나 예쁠까 싶고
P0 	: 아 그치ㅠㅠㅠ 나 닮은 아기 넘 궁금해
