# FILE DATA
ID : MDRW2100040934
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 식음료

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 맞아요 식감도 별로고 맛도 느끼해요...
P0 	: 굳이 이 느끼한 채소를??? 이런 생각이 들더라구요ㅋㅋㅋ
P1 	: 앗 그러니까요!!!! 맛도 이상하고....
P1 	: 훈제연어 샌드위치 사면 대부분 아보카도도 있어서
P1 	: 전 매번 같은집에서만 사먹어요 ㅠ.^
P0 	: 오 그래도 취향에 맞는 가게가 있어서 다행이네요!!
P0 	: 그럼 초밥도 좋아하세요??
P1 	: 네네! 연어만 먹지만 연어초밥 완전 좋아해요
P1 	: 30개도 가능....
P1 	: &name1&님도 자주 드시나요?(
P0 	: 오오 연어초밥 진짜 좋아하시나봐요!
P0 	: 저는 자주는 못먹고 가끔 먹는데 저도 좋아해요!
P0 	: 연어도 좋도 광어도 좋고,,,ㅠㅠ
P1 	: 오! 회 잘 드시나봐요!!!!!!!!
P1 	: 새우회도 드시나요?!
P0 	: 그러고보니 새우회는 아직 안먹어본 것 같아요!
P0 	: 맛있다는 말만 들었는데ㅜㅜ
P0 	: 드셔보셨어요??
P1 	: 앗 저도 아직이요!!! 딱새우회? 가 엄청 맛있다고 들어서
P1 	: 혹시 드셔보셨을까 여쭤봤어요 ㅎ.ㅎ !
P0 	: 저도 먹어보고싶어요ㅠㅠ 달다고 하던데 상상이 안가요ㅋㅋㅋ
P1 	: 그러니까요 ㅋㅋㅋㅋ !!
P1 	: &name1&님 그럼 해산물 좋아하셔요!?!?
P0 	: 회빼고 생선은 안좋아하는데 새우 조개 낙지 막 이런건 먹어요!!
P0 	: &name2&님은 좋아하세요??
P1 	: 저는 연어랑 새우 빼고는 ㅠ 잘 안 먹어요!
P1 	: 막입인데 유일하게 비린맛을 잘 못 먹거든요..
P0 	: 아하ㅜㅠ 저도 비린거 진짜 싫어해서 생선은 안먹는데 해산물은 괜찮더라구요
P0 	: 고등어구이 이런거 정말 싫어요..ㅠㅠ
