# FILE DATA
ID : MDRW2100040201
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 파마하셨어요?
P0 	: 아니요~ 그냥 자르고 다듬기만 했었는데 지금.... 완전 덥수룩해서요 ㅋㅋ
P1 	: 남들은 에어랩으로 잘다듬고 다니던데
	  전 귀찮아서
	  대충하고 다니네요.ㅎ
P0 	: ㅋㅋㅋㅋㅋ 에어랩,,, 저도 사고 싶어요
P0 	: 저는.. 겨울되기 전에 볼륨매직 한 번 하려고요
P0 	: 요즘 미용값이 금값이라 엄두가안나네요
P1 	: 넵. 서비스업인데.  
	  미용실마다 가격도 다르고
	  갔다가 추가 사항이 많아 처음 계획했던 것과 달리 예산도 초과되고요..
	  저는 미용실 간 지 꽤 된 거 같아요.
P0 	: 맞아요... 추가금이 그렇게 붙잖아요 ㅎㅎ 너무 부담스러워요 한번 머리하려면 20만원은 훌쩍이니까...
P0 	: ㅎㅎ  검은색긴생머리이신가요?
P1 	: 검은색 긴 생머리이고 싶은데
	  반곱슬에 흰머리 가득이네요.ㅎ
	  샤워하신 후 머리카락은 드라이어로 말리시나요;
P0 	: 아~반곱슬이시구나 ㅋㅋ
P0 	: 아니요 그냥 자연바람에 말려요~
P0 	: 오래 걸리긴하는데..그래도.........
P0 	: 드라이기 안 써버릇하니까 안쓰게 되더라고요 ㅎㅎ
P1 	: 저도요.
	  그래서 가끔 안말리고 자기도 하고
	  그래서 머리카락 건강이 별로인 듯 싶어요.ㅋ
P0 	: 안말리고 자면... 탈모지름길이래요!!ㅋㅋ 꼭 말려야해요!!
P1 	: 헉.
	   명심할게요.
	  아침잠이 많지만
	  자고 일어나서 아침에 감는 게 더 낫겠네요.
P0 	: 앗 ㅎㅎ 아침에 감는것보다 밤에감는게 좋다고했던것같은데..확실치는 않아요........가물가물
P0 	: 하루종일 나온 머리피지를 밤에 씻겨내줘야 좋다고 했던것같은데.........ㅋㅋㅋㅋ
P0 	: 저는 머리숱이 엄청 많았는데..... 점점 적어지더라고요 ㅋㅋㅋㅋ 그래서 자연건조 열심히해요!!!!!
P1 	: 에고
	  밤에 감으면 말리기 귀찮아
	  그렇다고 피지 묻히고 자면 안돼..
	  난제네요.ㅋ
	  
	  지금 어디 불편한 곳 있으세요?
	  전 오른쪽 어깨가 아프네요.
P0 	: 저는 허리통증이 항시있어요 ㅋㅋ 파스바르는거,붙이는거 좋아해서 달고살아요~ 좋아해요..ㅋㅋ 화한거
