# FILE DATA
ID : MDRW2100035754
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 아니 진짜 아침에 일어나서 해주는거 먹고 같이 띵굴띵굴 있다가 애자니까 자서 5시까지 같이 자뿌..ㅋㅋㅋㅋ
P1 	: 아 그전에 점심먹고 그래
P0 	: ㅋㅋㅋㅋ아 웃겨 ㅋㅋ 왜이리 공감가냐 ㅋ
P0 	: 진짜 하루종일 핸드폰 아니면은 티비..
P0 	: 아휴..정말 오늘도 적당히 하라구했다. ㅋㅋ오후에는 ㅋㅋ
P0 	: 내 이제 자야되겠당 ㅋㅋ 늦었는데 너두 어서자 ㅋㅋ
P1 	: 내가 오죽하면 입이 쉬는시간은 잘때 폰볼때 뿐이라고
P0 	: ㅋㅋㅋㅋㅋ아 웃겨 ㅋㅋㅋ
P1 	: 먹는거 아니면 잔소리한다고 바쁨
P1 	: 입이 입이
P0 	: 우리오빠는 ㅋㅋㅋㅋㅋㅋㅋ게임하기 바쁘다.
P1 	: 응 어여자 낼도 일가는데 ㅎㅎ
P0 	: 오늘 진짜 씅났다.
P1 	: 아.. 게임하는구나...
P1 	: 오빠 보기와 다르게..ㅋㅋ
P0 	: 아니 어제 오늘 계속 폰 보길래
P0 	: 왜 그러나 했더니만
P0 	: 보니깐 게임하고 있었뿌
P0 	: 진짜 짜증나가꼬 폰 뺐음
P1 	: 무슨게임을 해??
P0 	: 해도 적당히 해야지 ㅋ
P0 	: 몰라. ㅋㅋ 모바일게임인데 ㅋㅋㅋ 나는 게임을 잘 모르니
P0 	: 여튼 ㅋㅋㅋ참 여러가지한다. 여러가지해 ㅋㅋ바쁘다마 ㅋㅋ
P1 	: 그래 ㅋㅋ 진짜 오빠..ㅋㅋㅋ 안어울리게 게임을 하시는구나.ㅋㅋ
P1 	: 머 할수는 있는데 적당히..ㅋㅋ하시지..ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋ안어울린대 ㅋㅋ 아 웃겨 ㅋㅋ
P0 	: 그라이 ㅋㅋ 이제 자야징 ㅋㅋ 너도 어여 자
P0 	: 잘자이 ㅋ
