# FILE DATA
ID : MDRW2100028340
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>그 외 사회적 관계
intimacy  :  4
contact_frequency  :  주 3회 이상

P0 	: 저 전에 찾아줬던 무스케이크 가게 다녀왔는데 문이 닫혀 있었어요 ㅠㅠ
P1 	: 식음료면 커피나 그런건가..?
P1 	: 요새 카페들 인스타에 공지해놓고 맘대로 문 닫더라구요
P0 	: 정말 너무하다...
P0 	: 인스타는 비회원은 검색도 안 되는데
P0 	: 그래서 지나가다 보인 유기농 케이크 가게에서 케이크 사왔지만... 무스케이크는 아니라서 슬프네요
P1 	: 저번에 커피 원두가 맛있다는 곳을 일부러 찾아갔는데 문을 닫은거에요
P1 	: 알고보니 인스타 공지 ㅎ
P0 	: 아이고 그놈의 인스타
P1 	: 식음료에 맞는 이야기.. 음..
P0 	: 저녁 메뉴?
P0 	: 저녁 뭐 먹나요?
P1 	: 고기 먹었어요 ㅎ
P1 	: 맛있었다!
P1 	: 아 얼마 전에 수정과가 마시고 싶어서 인터넷 구매를 할까 했더니
P0 	: 오 고기 맛있겠다
P1 	: 수정과 제조법 엄청 쉽더라구요
P0 	: 아 ㅇㅇ 계피랑 대추랑 설탕?
P1 	: 그냥 대추랑 계피랑 흑설탕 넣고 끓이면 끝..
P0 	: 맞나요?
P1 	: 근데 쉽긴 한데
P0 	: 우왕
P1 	: 차가운 수정과가 되려면 기다려야 하잖아
P1 	: 그게 좀 귀찮던데요
P0 	: 그쵸
P0 	: 귀찮지...
P1 	: 비슷한 맥락으로
P1 	: 사과유자에이드가 마시고 싶은데
P0 	: 한 잔 마시고 말 거라면 사마시는 편이 낫죠
P1 	: 사과유자청 만들어야 하잖아요
P1 	: 귀찮아
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그거야말로 사라고요
P0 	: 유자청 은근 까다롭잖아요
P1 	: 그니까요
P0 	: 잘못 만들면 맛없는데 왜 맛없는지도 모르겠더라
P1 	: 유자청에 사과 썰어넣으면 그 맛이 날까요?
P1 	: 넘 날로 먹나??
P0 	: 사과가 아삭하던데 생 사과도 넣지 않을까요?
P1 	: 역시 그런가??
P1 	: 나중에 유자청 작은 거 하나 사다가 시도해봐야겠어요
P1 	: 맛있는 음료가 마시고 싶은데 찾기가 어렵네요
P1 	: 요새 무슨 더티음료 이런 거 유행해서
P0 	: 맞아요
P0 	: 엥 그게 뭐야
P1 	: 컵에 코코아 파우더 잔뜩 뿌리고 크림 잔뜩 뿌리고
P1 	: 컵을 더럽게 만들어서 주는 인스타용 음료인데
P1 	: 진짜 저는 딱 질색이거든요
P0 	: 마시기도 귀찮고 설거지 하기도 귀찮겠다
P1 	: 그니까요
P0 	: 맛은 둘째치고... 손에 묻을 것 같고
P1 	: 코코아가루.. 푸헹취 한번 잘못하면 끝장일텐데
P1 	: 요새는 사진이 예쁘게 찍히는 음료가 유행인가봐요
P0 	: 은근 그러기 쉽지~!!
P1 	: 맘에 들지 않아
P0 	: 기승전 인스타
P1 	: 저도 인스타 하긴 하지만...
P1 	: 인증 사진 넘 많이 찍는 것은 별로 .
P0 	: 사진 찍는 거 재밌으니까 기분은 이해하지만 음식이면 맛으로 승부하란 말이야!
P1 	: 맞아!
P1 	: 요새 카페 가면 음료나 빵.. 너무 기성제품 많이 써서 별로에요
P0 	: 저 그래서 매장에서 구운 건지 홍차는 잎인지 가루인지 꼬박꼬박 물어보는 편
P0 	: 가루 밀크티 극혐
P1 	: 저번에는 카페 원두 뭐냐고 물었더니 모른다는거에요
P1 	: 나 참나
P1 	: 어디서 사와가지고
P0 	: 대체 카페 왜 한대요?
P0 	: 조리를 하지 않을 거라면 음식점을 차리지 말았어야지
P1 	: 그 사장도 저처럼 날로 먹는 거 좋아하나봐요
P0 	: 지니는 카페 차리면 원두 상태 따져가면서 블렌딩 심혈을 기울일 거면서
P1 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 바리스타 자격증 있나요
P1 	: 맞아요.. 전 커피 원두도 여러 종류 적절히 섞어보면서 찌니 에디션 커피를 내놓을거에요
P1 	: 없죠
P1 	: 전.. 남이 해주는 게 좋아요
P1 	: 헤헤
P0 	: 있을 줄 알았는데
P1 	: 바리스타 자격증 따는 거 꽤 돈이 나가더라구요
P0 	: 어머 그래요? 몰랐네
P1 	: n십 정도 나가는데 아직 저한테는 무리라서 언젠가는 바리스타 자격증 따보고 싶긴 해요
P0 	: 워어 비싸구나
P1 	: 인터넷 무료 강의는 많은데, 실습이 꽤 돈이 나가더라구요
P1 	: 예전에 기숙사 살 때 바리스타 클래스 있었는데, 학생들이라 싸게 해준다고 하면서도 30만원이었어요.
P1 	: 근데 카페 사장이나 알바생들 중에서도 바리스타 자격증 없는 사람 많다고는 하던데요
P0 	: 그건 국가 지원이 없던가...?
P0 	: 하긴 원두도 모르고 커피 파는데 뭐
P1 	: 커피 마시고 싶다
P0 	: 이 시간에는 그만두자...!!
P1 	: 요새 나가기 귀찮을 때마다 카페 배달로 커피 샀더니, 배달비가 더 나오더라구요..
P1 	: 커피는 3천원 배달료는 4천원
P1 	: 따흑..!
P1 	: 심지어 최저요금이 있으니까 커피 2잔에 케이크 하나 이런 식으로 과소비...
P0 	: 전 동생이 커피 포션 사보고 싶다고 하기에 마침 원두도 떨어졌겠다 사보라고 했어요
P1 	: 커피 포션도 좋죠
P0 	: 오늘 처음 마셔봤는데 맛이 없던데
P1 	: 저는 주로 더치커피 쟁여놓고 있는데
P0 	: 편하기야 했지만...
P1 	: 더치커피 스토리라고 꽤 괜찮은 업체가 있어서 거기서 사마셔요
P0 	: 아하
P0 	: 전 제가 커피 내려놓고 일주일 정도 버팀
P1 	: 헐
P1 	: 전 커피 내리면 그 자리에서 순삭인데
P0 	: 그렇게 마시다간 카페인 의존증에 만성 탈수에 시달릴 거라고요
P0 	: 반성해
P1 	: 근데 저는 커피만큼 물도 많이 마셔서 만성 탈수는 아닐거에요
P1 	: 카페인 의존은 아니라고 장담할 수는 없어
