# FILE DATA
ID : MDRW2100042327
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 여행

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 그리고 또 뭐하고 싶어
P1 	: 경주가서
P0 	: 음
P0 	: 걍 맛있는거먹고
P0 	: 예쁜거보고
P0 	: 먹고
P0 	: 자고
P1 	: 응응ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 놀고
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅎㅎ
P1 	: 아 맞다
P1 	: 경주에
P1 	: 경주월드도 있었지
P0 	: 아 맞네
P0 	: 가볼까??
P1 	: 좋지좋지
P1 	: 나 근데
P0 	: 삼전이랑 코인 다팔아야겟다
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 응
P1 	: 시험 개잘치고
P1 	: 수업 쨔고 놀러가고 싶어
P1 	: 수업 째고
P0 	: 와
P0 	: 그릇이 크네
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 난 쫄보라 상상도못함
P1 	: 아니 근데
P1 	: 교수님이
P0 	: 응
P1 	: 자기도 대학교 1학년때 그랬다면서
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
