# FILE DATA
ID : MDRW2100025646
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 정말....{emoji:☆}
P1 	: 그래서 헤어지고 나서
P0 	: 네네
P1 	: 산부인과 다니고 그랬답니다 다행히 병은 없었지만...
P1 	: 벌써 옛날 일이네요ㅠ
P0 	: 와 진짜... 욕보셨습니다...후
P0 	: 저도 임테기를 몇번을 했었는지 참
P0 	: 씁쓸한 과거입니다 ㅋㅋㅋㅋ
P1 	: 아 저도요
P1 	: 저 하루는
P1 	: 하루는이 아니라 언제는
P1 	: 정혈이 보름 넘게 날짜를 안지켜서 진짜 임 신 인줄알고
P1 	: 여기서 pregnant도 나쁜말이더라구요,,,
P1 	: 전전긍긍하니까 {censored}이 하는 말이
P1 	: 너가 걱정하니까 더 안나오는거다... 이러고,,,
P0 	: ㅡㅡ 맞아요 진짜 남일이라고
P0 	: 지들은 싸고 즐기고 끝났다 이거죠 그 불안감 절대네버 이해못하고
P0 	: 이해할 생각조차 안하더라구요
P0 	: 에이 설마~~~ 다 이런 반응
P1 	: 그니까요 ㅋㅋㅋㅋㅋㅋㅋ 하
P1 	: 그리고 제일 짜증나는 말이
P1 	: 자기가 다 책임지겠대요;
P1 	: 아니 무슨 책임을 져요
P0 	: ㅋㅋㅋㅋㅋㅋ퍽이나
P0 	: &name2&님 이상형은 어떻게돼요?
P0 	: 저는 딱히 막 생각한 건 없는데 친구들이 취향은 소나무라고 하더라구요?ㅋㅋㅋㅋ 근데 그런것같아옼ㅋㅋㅋ
P1 	: 저 이상형은!!!!
P1 	: 사실 딱히 생각해본 적은 없는데
P1 	: 흑발이 잘 어울리는 사람이요 ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 근데 이거 말하면 사람들이
P0 	: ㅋㅋㅋㅋㅋ그렇다면 그건 하얀사람이다!!
P1 	: 야유하더라구욬ㅋㅋㅋㅋㅋㅋ
P1 	: 아그런가요?!?!?!
P1 	: 헐 그런 생각 안해봤는데
P1 	: 피부색은 전혀 상관 없는데!!
P1 	: 그리고 안경 잘어울리는 사람도 좋아해요 ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ피부가 뽀얗고 하얀사람이 흑발하면
P0 	: 그 오우 텐션이 있는거같아요 ㅋㅋㅋㅋ
P1 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 사실 제 취향도 하얗고 눈찢어진 무쌍
P1 	: &name1&님은요?!?!
P0 	: 이어가지곸ㅋㅋㅋㅋㅋㅋ
P1 	: 오오!!!!!! 대박ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 근데 그게 사실 약간 어떻게보면
P1 	: 나중에 한 사람 가지고 싸우는거 아니냐구요(?)
P0 	: ㅡ야하게생긴사람...인듯요^^
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 근데 저는 외모는 진짜 잘 모르겠어욬ㅋㅋㅌㅋ
P1 	: 아 너무 웃겨요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아니
P1 	: ㄹ ㅔ 즈가 왜 나쁜말이냐
P0 	: 껄껄
P1 	: 아니 이쪽판에서도
P0 	: 내말이요 이 머엉청한 것드라
P1 	: 키큰사람만 좋아해서 짜증나요!!!!
P1 	: &name1&님이랑 연애얘기로 500개 다 채울 수 있을거같은디요;;;
P1 	: 아니하튼 그
P1 	: 이쪽에서도 다들 키큰 사람 선호하다보니 주눅이 듭니다
