# FILE DATA
ID : MDRW2100023535
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 경남
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 거기 날씨는 어떠세요?
P1 	: 여긴 아침부터 엄청 더워요
P0 	: 여기 우중충해요
P1 	: 저흰 내일 비소식있어용
P0 	: 저희도요
	  내일 이사인데 걱정이네요
P1 	: 헛 내일 이사신건가요?!
P1 	: 비오면 많이 불편하시겠어요ㅜ
P1 	: 그래도 비오는날 이사하면  잘산다는 말이있으니
P1 	: 새로이사가는 집에서 잘사실꺼에요
P0 	: 여기 이사올때도 겨울이었는데 비왔었거든요
	  이사때마다 비오네요ㅋㅋ
P0 	: 잘살면 좋죠
P1 	: ㅋㅋㅋ 좋은징조라 여겨요!ㅎㅎ
P1 	: 가을장마라더니 쭈욱 비소식이있네요
P0 	: 그쵸ㅋㅋ 그래서 저런 속설이 나온 것 같아요
P0 	: 그니까요 가을장마..  넘기네요
P1 	: 근데 오늘은 30도까지올라서
P1 	: 엄청 덥고 습해요
P1 	: 불쾌지수 상승중입니다ㅜㅋ
P0 	: 그니까요 차라리 덥기만하면 괜찮은데 습하니 진짜 끈적이고 짜증나요
P0 	: 마스크쓰면 더 답답해요
P1 	: 맞죠ㅠ 마스크 부분에 뾰루지가~~
P1 	: ㅜㅜ 너무더워서 땀차서
P0 	: 그니까요 얼굴에 뾰루지 천지예요
P1 	: 덥기만하면 괜찮을텐데
P1 	: 습한게 큰 문제인듯요ㅜㅜ
P0 	: 그니까요 습해서 숨쉬는게 더 어려워요
