# FILE DATA
ID : MDRW2100013206
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 경기
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋ 동물 키우시나요
P0 	: 네
P0 	: 도마뱀 두마리요
P0 	: 밀웜하고 밀웜 성충 거저리도요
P0 	: 키우시나요?
P1 	: 와 많네요!
P1 	: 전 식물만ㅋㅋ
P0 	: 아 어떤 식물요
P0 	: 전 똥손이라 다죽여요
P0 	: 지금 고구마 토마토는 키워요
P1 	: 저도 방토. ..ㅋㅋㅋ
P1 	: 아 대파도 키워요
P1 	: 파값 비싸졌대서
P0 	: 오 저도 키웠었는데
P0 	: 요새 싸요
P0 	: 겨울에 키웠어요 대파테크
P0 	: 한참 유행했죠
P0 	: 전 실패 ㅋㅋ
P0 	: 방룰토마토 안열려요
P0 	: 열렸어요?
P1 	: 저 방토 한 8년 먹었는데ㅋㅋ
P1 	: 잘 커요 방토는!
P0 	: 전 왜이러나요
P0 	: 애숙제인데 클났어요
P0 	: 따서 인증샷 하라는데
P0 	: 안열려요
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 그~~ 자라긴 하는데
P1 	: 꽃이 안나요?
P0 	: 네
P0 	: 꽃이 있긴했는데 그후 열매가 안열려요
P1 	: 꽃끼리 수분 해줘도 안열리나요?
P0 	: 안해줬어요
P0 	: 그래서 그런가요?
P0 	: 어쩌죠
P1 	: 네 ㅋㅋㅋㅋㅋㅋ
P1 	: 수분 해주셔야죠
P1 	: 붓에 물 묻혀서
P1 	: 다른꽃에 슥슥
P0 	: 지금 늦은듯해요
P0 	: 꽃이 졌어요 ㅜㅜ
P1 	: ㅋㅋ또 꽃 나올꺼에요
P1 	: 또 꽃 나올거에요
