# FILE DATA
ID : MDRW2100000978
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 애완동물 키우세요?
P1 	: 달팽이.....
P1 	: 왕달팽이 키워여...!!!!!!!
P0 	: 진짜요??! ㅋㅋㅋㅋㅋ아 저 조카도 키웟었는데
P0 	: 어쩌다 키우시게됐어여?
P1 	: 허걱 ㅋ ㅋㅋㅋ그럼 보셨겠군요!!
P1 	: 저는 원래 달팽이를 조아해서
P1 	: 일부러 분양받았오욤 ㅋㅋㅋㅋㅋㅋ
P1 	: 발이없는 친구들이 좋아요..
P0 	: 신기하다ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저는 어릴때 토끼 거북이 햄스터
P0 	: 키워봤어용
P0 	: 커서는 한번도 안키웟다는..
P1 	: ㅠㅠㅠㅠㅠ거북이ㅜㅠㅜ키우고싶어요 왕느림
P1 	: 커서는 왜 안키우세영?!!
P1 	: 내 한몸.......가꾸기힘드러서..........?...
P0 	: 넼ㅋㅋㅋㅋ 키워도 잘돌봐줄 자신도없고 ㅠㅠ
P0 	: 지금은 그나마 코로나땜에 괜찮을거같은뎅
P0 	: 원래ㅜ외출을 좋아해서요 !
P1 	: 우와 외출을 좋아하시는군요 전 집순쓰라......
P1 	: 침대옆에 달팽쓰 집놔두고
P1 	: 같이 꾸물거려요,,,,
P1 	: 아주 느린것이..... 보고있으면.....
P1 	: 귀여워여........ㅌ ㅋ ㅌ ㅋ ㅋㅋ ㅋㅋ ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ아 근데
P0 	: 생각하니깐 귀엽다 ..
P0 	: 관심가네여 확실히 ㅋㅋ
P1 	: ㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ 느림의...미학....!!!! 달팽쓰도 징그럽지않다면
P1 	: 담에 한번 도전해보세욤 ㅡ0ㅡ!!!
P1 	: 상추만 줘도 잘커요!!!!
P0 	: 오 근데 달팽이는 수명이 어떻게돼여? 아세요 혹쉬?
P1 	: 풀밭에 사는 아가달팽이는 2년..?이면 죽어요ㅠㅠㅠ
P0 	: 헉 ..
P0 	: 생각보다 오래살진않네여 ㅜㅜ
