# FILE DATA
ID : MDRW2100027533
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 다시 말해주세요 ㅠㅠ
P0 	: 그래서 진짜 아오 하면서 헤어졌어요 ㅋㅋㅋ
P1 	: 못봤어요 ㅠㅠ
P1 	: 손이 빠르시네요!!ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아 입만 터는 놈이었어요 ㅡㅡ
P0 	: 진짜 생각할수록 열받아요
P0 	: 헤어질때도 잘 털더라고요
P1 	: 헐랭
P1 	: 허언증이였군요
P0 	: 남들은 걔가 진짜 다정한 줄 알았어요 저는 맨날 구박하는 줄 알고 ㅋㅋ
P1 	: 헐랭 그런거 먼지알죠
P0 	: 구박이 아니라 답답해서 지르는 건디..
P1 	: 겉만보고 판단하는게 젤나빠요
P0 	: 오히려 해준건 제가 더 많고 뭐 알아보고 하자하는건 다 저고 ㅡㅡ
P1 	: 헐 먼지알죠 ㅠㅠㅠ
P0 	: 걘 진짜 인스타 보면 사랑꾼이에요 ㅋㅋㅋ 에효..
P1 	: 말만 번지르게하는놈...
P0 	: 저는 인스타 안하거든요 ㅋㅋㅋ
P1 	: 에이...보여쥬기식 사랑은 너무 싫어요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 헐진짜요??
P0 	: 그니까 여론에서 제가 막 밀리고? ㅋㅋㅋㅋ
P1 	: 저는 인스타 구곁용으로 해요!!
P0 	: 네 저 인스타 안해요! 귀찮아성
P1 	: 맛집 좋은 카페 이런거보ㅡ보ㅓ요 ㅋㅋ
P0 	: 저 만들었다가 비번 까먹었어요ㅠㅠ
P0 	: 저 그래서 아직도
P0 	: 네이버 블로그 보고 맛집 찾아요
P0 	: ㅋㅋㅋㅋㅋ애들이 다 빵터져요 식당이 뭔가 가족단위 픽이라고
P0 	: 약간 인스타 안하면 불편하긴 한데 편하긴 해요
P0 	: 신경 안써도 되는 그런거는 편해용
P0 	: 근데 럽스타 이런건 못하죠 아무래도ㅠㅠ
