# FILE DATA
ID : MDRW2100002202
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 재미있게 보는 TV프로그램이 있으신가요?
P1 	: 결사곡 드라마 재밌게봤어요ㅎㅎ막장드라마
P0 	: 오 그거 이야기는 들었는데 보지는 못했네요
P0 	: 저는 티비는 예능을 많이보고 드라마 같은거는 넷플에서 많이봐요
P1 	: 아 그러시군요 결사곡도 넷플에있긴해요
P1 	: 예능 추천해주세요^^
P0 	: 나중에 기회 되면 봐볼게요!
P1 	: 네ㅎㅎ 불륜내용인데 코믹이에요
P0 	: 골때리는 그녀, 노는 언니 재밌게 보고 있어요! 유퀴즈도요
P1 	: 유퀴즈 넘 재밌어요 캐스팅도 늘좋구요
P1 	: 식스센스는 안보시나요
P0 	: 식센은 간간히 보는데 챙겨보지는 않았어요! ㅋㅋ
P0 	: 어제는 유퀴즈 올림픽편 봣는데 재밋더라구요 감동과 재미가 다 있는 프로라 좋아요
P1 	: 올림픽편 아직못봤는데 찾아봐야겠네요~
P1 	: 추천감사해요
P0 	: 넷플릭스나 왓챠같은 것도 구독하시나요?
P1 	: 아뇨 쿠팡플레이 가끔보고 거의 유튜브이용해요
P0 	: 저도 쿠팡플레이 봐요~~
P0 	: 유튜브도 프리미엄해서 넘 편해요
P1 	: 프리미엄 좋아보여요ㅋ 저는 광고패스하며 보네요ㅋㅋ
P0 	: ㅋㅋ그렇게보다가 인도우회하면 저렴하게 볼수있대서 했는데
P0 	: 괨찮은거같아서 유지중이예요
P0 	: 지금은 막혔대서 더더욱 유지해야하는..
P1 	: 그얘기들어봤는데 막혔군요ㅜ
P0 	: 네ㅠㅠ 이제는 막는다고 하더라구요 안된대요 우회
P1 	: 역시 빠르게 움직여야 누릴수있네요
P0 	: 맞습니다.. 좋은건 금새막혀서
P0 	: 좋아하는 연예인 잇으세요?
P0 	: 그것 때문에 보는 컨텐츠라거나
P1 	: 네 케이윌좋아해요
P1 	: 요즘 활동 안하고있지만ㅎㅎ
P0 	: 케이윌팬분들은 콘서트도 자주가던데
P1 	: 저도 꼭 가요
P0 	: 우와 맞군요 케이윌콘서트 정말 재밌다고 들엇어요 ㅋㅋ
P1 	: 네ㅋ 저도 콘서트 따라갔다가 입덕했어요
P0 	: 그렇게 콘서트에서 잘한다고 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 가서 보면 잘생겨보이는 효과가 난다며 그렇게들엇지요
P1 	: 네ㅋㅋ맞아요ㅋㅋ
P1 	: 춤도잘추고 끼가많더라구요
P0 	: ㅋㅋㅋ케이윌콘서트 간증을 직접듣다니 흥미롭습니다
P1 	: 알아주시는분을 뵙게되니 신나네요ㅋㅋㅋ
P0 	: 티비프로그램에사 케이윌까지 우리의대화는 참 다양했습니다
P0 	: ㅋㅋㅋㅋ 즐거워요
P1 	: 네 ㅋ 즐겁게 이끌어주셔서 감사해요^^
