# FILE DATA
ID : MDRW2100025430
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 동물은좋아하세요??
P1 	: 구피 물고기 키우고 있어요
P0 	: 헐 물고기
P0 	: 기엽겠내요
P0 	: 네요
P0 	: 저는 아무것도 안키워요 ㅠㅠ
P1 	: 어항에 한 100마리 있어요..ㅎㅎ
P0 	: 헐 기엽겠어요 ㅠㅠ
P0 	: 저도멀 키우고싶지만
P0 	: 용기가 안나네요 ㅠㅠ
P1 	: 맞아요.. 생명을 다루는 거라 쉽게 시작할 순없죠..
P1 	: 그래도 혹시 관심있따면 물고기중에 구피가 초보자용으로 좋아요
P0 	: 혼자 살때 한번 도전해 볼게요
P0 	: 생명력있는것들이라 너무 무서워요
P1 	: 네.. 물고니는 집을 어지르지도 안고.. 시끄럽지도 않아서 좋아요
P1 	: 그리고 가끔 어항 들여다 보고 있으면  힐링이 돼요
P0 	: 재미있을거같긴하네요
P0 	: 고양이가 그래서 물고기를 쳐다 보는걸꺼요 ㅋㅋ
P0 	: 걸까요? ㅋㅋ
P0 	: 안정을 취하기위해
P1 	: 고양이한테는 어항이 티비래요..ㅎㅎㅎ
P1 	: 근데 이게 살아있는 동물이 움직이는거라 정해져있지 않아서 지루하지 않아요
P1 	: 한시간동안 보고 있었던 적도 있어요
P0 	: 진짜 시간이 잘거네요 ㅋㅋㅋㅋ
P0 	: 힘들때 나름 위로도 되겠어요!
P1 	: 네.. 구피멍 할수 있어요.. 멍때리면서 보고 있으면 스트레스도 해소되고..ㅎㅎ
P0 	: ㅋㅋㅋㅋㅋ 저도 해보고싶네요 그건 ㅋㅋㅋㅋㅋ
P1 	: 그래서 추천합니다..ㅎㅎ 구피..ㅎㅎ 어항 제대로 살 필요업구요.. 물받이 그릇만 있으면 시작할 수 있어요..
P1 	: 암컷 수컷 넣어놓으면 번식도 잘하고
P0 	: 나름 생명이라 걱정이예요 ㅠㅠ
P1 	: 인공수초라도 해놔야 아기구피들이 숨을 수 있답니다
