# FILE DATA
ID : MDRW2100035026
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 빚이 50억인 강동원 VS 빚이 50억인 차은우
P0 	: 어렵죠
P1 	: 왜 이번엔 둘다 빚더미들이에요
P1 	: 강동원20대라면 고민하는데 저보기라면 차 갑니다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아 씁 같은 나잇대로.....
P1 	: 솔직히 은우보다 문빈총각이 더 제 스탈입니다
P0 	: 아놔 저도요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ취향고백
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저도요...문빈총각 예쁘잖아요?
P1 	: 겹치는거많네요
P1 	: 예..무대할때 아주..
P0 	: 그러면 &name2&님 더 만나기 싫은 남자는요?
	  데이트 할 때마다 소심해서 내 뒤에 숨는 남친 VS 가오충
P1 	: 1번
P1 	: 제가휘두르는맛이 있겠네요
P0 	: 가오충이 돈도 다쓰고!!! 얼굴도 아주조금 더 낫다면요?!
P1 	: 그럼 가오충갑니다 
	  오지게 가스라이팅해서 지도모르는새에 내가하라는대로만 하게 만들어볼게요
P0 	: ㅋㅋㅌㅋㅋㅋㅋㅋㅋㅌㅋㅌㅌㅋㅋㅋㅋㅋㅋㅋ 아 &name2&님 진짜 답변이 너무 웃겨요 진짜...와...
P0 	: &name2&님...가오충 길들이시는 편...
P1 	: 예 그런애들이 좀만오냐오냐해주면 똥인지된장인지도모르면서 허세부리며 해주는편이자나여
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 잘알은 다르구나 싶어요 정말...
P1 	: &name1&님은 빠가충과 백치남중에 뭘고르실건가요
P1 	: 입만열면 오빠가 오빠가 빠가충vs 네가해줘 나는아는게 하나도없어 하는 백치컨셉충 골라주세요
P0 	: 하 진짜 어려운 선택지부터 주시네.....
P0 	: ㅋㅋㅋㅋㅋㅋㅋ저 백치남이요; 착즙해볼게요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 착즙 해봅니다.
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아이큐60인데도요?
P1 	: 사실컨셉이아니었던거죠
P0 	: 아놔...착즙하기 어려워지는데...
P0 	: 착즙은 컨셉이어야 가능한 거 아시죠....
P0 	: 빠가충 갑니다
P0 	: 오빠가 할때마다 입때리면 고쳐지겠죠?
P1 	: 아뇨 죽을때도 오빠가....하면서죽습니다
P0 	: 아
P0 	: 오빠가...무덤에 잠들다..?
P0 	: 하 저 진짜 그냥 60 착즙 할게요 옆에 병풍으로는 그래도 빠가충보단 낫잖아요 솔직히
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: &name2&님은요? 빠가충 백치미?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: &name1&님 순종적인 남성...선호
P0 	: 아 씁....
P1 	: 예 전 오빠를 못부르는 병이있어서
