# FILE DATA
ID : MDRW2100037719
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: ㅋㅋㅋ아 sg워너비 틀고싶다
P0 	: 근데 카페에서 모해 
P1 	: 그림그렸어
P1 	: 아놔 또 김건모
P1 	: ㅋㅋㅋㅋㅋ저 달이 너무 초라해~
P1 	: 너도 나처럼 외로운~ 텅 빈 가슴 안고 사는구나
P0 	: 약해지면 안된다는말대신~~
P0 	: 워~~
P1 	: ㅋㅋㅋㅋ아 근데 가사만 봐도 잘 모르겠당
P0 	: 그림대박 ㅋㅋㅋ
P1 	: ㅋㅋㅋ여기 내가 다 그려줬다
P0 	: 대박 ㅋㅋㅋㅋ그림책내보면어때?
P1 	: ㅋㅋㅋㅋㅋ앜ㅋㅋㅋ내용이 음슴..
P1 	: 혹시 김건모 모음인가 연속 3건모
P0 	: ㅋㅋㅋㅋㅋ가수로정렬아냐 ㅋㅋ
P1 	: 이제 집에 가고싶은데...가고싶다...음..
P0 	: 당분간은 일만하자
P0 	: 그녀를 알았단 그사실에 감사하자
P1 	: ㅋㅋㅋ난 절대 못풀겠다
P0 	: 밥만잘먹더라 죽을것도 아니더라
P1 	: 아ㅋㅋ밥만잘먹더라!!
P0 	: 어머니는 뭐하셔,,
P0 	: 가실기미가읍너유,
P1 	: 이제 복숭아먹는중..
P0 	: 좋네거기!!!!
P1 	: ㅋㅋㅋㅋ흠...이거먹고 집가자해야지
P0 	: 러브홀릭~~~
P1 	: 하이하이호러브~
P1 	: 뚜뚜루뚜뚜두두뚜
P1 	: 갈 곳을 잃은 러브홀릭~
P1 	: 가사가 맞는진 알 수 없음ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ 보아다보라
P0 	: 아 ㅋㅋㅋ
P1 	: 에잉..보아 그런 노래도 있단 말여?ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋ다른 사람 노래 나오더니 또 김건모야
P1 	: 
