# FILE DATA
ID : MDRW2100025668
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 맞아요 저도 사실 탈코하고 그성별과의 비연애를 확실시한감에
P0 	: 네네네
P1 	: 아 쓰다가 일 생겨서 하고왓어욬ㅋㅋㅋㅋ
P1 	: 여성연애만 생각하고 그쪽세계에 대해 알아보기 시작했는데
P1 	: 정말 하말하않이더군요
P1 	: 심지어 페미를 대놓고 배척한다 하ㄴㅣ까
P0 	: 네네네 편하게 일 보세요!!!
P0 	: 아 맞아요 저는 예전에
P0 	: 어플도 들어가봤는데 ... 진짜 현타가 왔었어요
P1 	: 와 맞아요 저는 여시하는데
P1 	: 거기서 후기글 엄청봣는데 현타오는 사람들 정말 많더라구요
P1 	: &name1&님은 연애한다면 벽장인 편이신가요?
P0 	: 오오 여시하면 재밌을거같아요!!!
P0 	: 음 저는 가족들만 모르면 상관 없는데
P0 	: 문제는 제 블로그를
P0 	: 온가족 그리고 형부들까지 본다는거죠
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ형부라니
P1 	: 사이좋은 가족이네욬ㅋㅋㅋㅋㅋ
P1 	: 연애한다면 블로그에 티내실거 같아요?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ형부들도 제가 권유해서 블로그 시작했거든욬ㅋㅋㅋ앜ㅋㅋ
P0 	: 사실,, 진짜 모르겠어요 제가 한 두살 더 어렸으면
P0 	: 티냈을거같은데
P0 	: 이젠 좀 어른이니까 (?) 되도록 안내려나 싶기도 하고?!
P0 	: 안내려고 노력할 것 같기도 해요ㅠ
P0 	: 제가 자주 쓰는 네이버 아이디라,,,, 흠,, 여혐민국에선,,
P1 	: 맞아요..저도 조심스러워지더라구요
P1 	: 사실 티내도 상관없는데! 해도 나중에 생각해보면 안하길 잘했다..싶고 ㅋㅋㅋㅋ
P1 	: 저는 사실 연애 여러번 해봤는데 {censored}들이랑
P0 	: 그쵸그쵸 괜히,,, 사람들 입방아에 오르기 싫어서,,,
P0 	: 네네
P1 	: 오래사귄사람은 2년사귀고 나머지는 다 1년안되게 만났거든요?
P0 	: &name2&님은 여자랑은 연애 해보셨나요??
P0 	: 네네네
P1 	: 근데 여자랑은 만나면 오래연애할 거같아요
P0 	: 저도요!!!!
