# FILE DATA
ID : MDRW2100041392
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 언젠가한번쏴주면 탈출하려구
P0 	: 매일매일봅니다흑흑
P1 	: 전에 한번 쏴서 탈출 할뻔 했는데 그날 하필이면 안 봐서....
P1 	: 그 이후로는 정말 잡주가...ㅎㅎ...ㅠㅠㅠ흑흑흑
P0 	: ㅠㅡㅠ.... 매번고민합니다ㅋㅋㅋ
	  들고가야하는지 팔아야하는지ㅋㅋㅋㄱ
P0 	: 요새 국장이퍼래서 할인기간같아서 사야하는건지...
P0 	: 더내려가는데 잘못들어가는건지..
P0 	: ㅜㅜ모르겠슴돠!!!
P1 	: 국장 들어가야겠더라구요 지난주에 들어갈까 에이 말자 했더니
P1 	: 이번주에 세일 끝났더라구요
P1 	: ㅎㅎ...;
P1 	: 제가 보는 종목은 그랬어요 ㅋㅋㅋㅋ
P0 	: 하..세일끝이라니 >_<  젠장
P0 	: ㅋㅋㄱㅋㅋㅋㅋ
P0 	: 혹시 이벤트같은것도많이하세요?
P0 	: 출석체크라던지..
P1 	: 오 합니다 근데 옛날만큼 좋은건 없는 거 같아요....
P1 	: 뭐 하시나요???
P0 	: 오만거다합니다ㄲㅋㅋㅋㄱ그래야쇼핑하는데도움이돼서..
P0 	: 뷰티포인트나 엘포인트나 h포인트..
P1 	: 맞아요 그런 소소한 혜택이 최고죸ㅋㅋ 좋은거 추천 좀 해주세요 흑흑 ㅠㅠㅋㅋㅋㅋ
P1 	: 엘포인트는 앱이 많지 않나요?? 하이마트 세븐일레븐 등등 이었던거 같은....
P0 	: 맞아요 다깔아놧어요..
	  ㅋㅋㅋㅋㅋㅋ
P0 	: 예전에 폰이꾸질때는
P0 	: 차마할수없었는데
P0 	: 지금은 용량이많아서
P0 	: 여유있게하구있습니당
P0 	: 좋은거있으신가용!
P1 	: 역시...용량 많은게 최고죸ㅋㅋ 전 용량 널널한데도 다 깔아놓고 하기엔 ㅠ ㅋㅋㅋㅋ
P1 	: 한참 그리팅 많이 했는데 맨날 출첵 끊어져서 스푼만 다 날렸어요
P1 	: 이랜드 출첵도 좋았는데 사라지고ㅠㅠㅠ
P0 	: 악ㅜㅜ 그리팅아시는군요ㅜㅜㅜㅜㅜㅜ
P0 	: 안해요이번달 흑흑...ㅜㅜ좋았는데ㅜㅜ
P1 	: 지금은 그냥 신한 페이판이랑 리브메이트...이정도...? ㅠㅠㅋㅋ
P1 	: 앱테크도 부지런해야지 정말...게으르면 뭐든 안되겠어욬ㅋㅋ
P0 	: 마켓85라구 출석만하면 100퍼 깊콘주는곳도있으니 요거해보실만해요어플필요없구ㅋㅋㅋㅋ
P1 	: 헉 꿀팁 감사합니다!
P0 	: 어플 필요없는게
	  apmall  롯데백화점 현대식품관 시코르 마켓85 링켓 
	  정도인것같습니다
P0 	: -0-!!
P1 	: 아 시코르도 한참 했었죸ㅋㅋㅋ
P0 	: 맞아요ㅜㅜ시코르이제100퍼안써져가지구ㅜㅜ
P0 	: 큰의미없어요..
P1 	: 그 토스에서 만보 채워서 포인트 얻는거 그것도 하고...
P0 	: 와 저도토스합니다ㅋㅋㅋ
P1 	: 가까운 상점 지나가면 매일 최대 60원 줘욬ㅋㅋ
P0 	: 그런것도 은근소소하죠
P0 	: 그래도해야합니다 지르려면!!!!
