# FILE DATA
ID : MDRW2100042896
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 최근 쇼핑하신거 잇으신가요ㅡ
P0 	: ?
P1 	: 저 간식샀어요ㅋㅋ 초컬릿ㅋㅋ
P1 	: 뭐사셨어요?
P0 	: ㅋㅋㅋㅋ귀엽네요 무슨초콜릿인가요
P0 	: 디저트 정말 좋아하시는군요 ㅋㅋㅋㅋ
P0 	: 저는...머삿드라..
P0 	: 아 아이패드 충전케이블 고장나서 새로 사구 썬스틱샀어요
P1 	: ㅋㅋ 회사사람들과 나눠먹는다 생각하고ㅋㅋ 마구 삽니다
P1 	: 그리고 반지하나 찾고있어요
P1 	: 데일리템
P0 	: 반지! 예쁘죠
P0 	: 그 합정 망원쪽에 잇는 샵인데
P0 	: 네이버에서도 팔거든요? 거기반지 예뻐요
P0 	: 이름이...하 머드라 너무 난해해서 맨날 잊어요
P0 	: 아흘로뜰..? 아홀로뜰?
P1 	: 아 진짜 필요한 정보예요!
P1 	: 금과 은 다 파는거죠?
P0 	: 금은 없구 은이랑
P0 	: 그 원석반지들인데
P0 	: 예쁜거많아요! 한번 둘러보세요
P0 	: 저는 매장가서 하나 겟했답니다 ㅎ
P0 	: 아 금도 잇었던고같다
P1 	: 아 은 부담없이 끼려고요!  저 요즘 손에 주렁주렁 끼고 다닙니다
P1 	: 화장안하고 손에 직중
P1 	: 집중
P0 	: ㅋㅋㅋ그져 마스크끼니까
P0 	: 저는 선크림만 바루고 다닌지 오래
P0 	: 반지 레이어드해서 끼는거 예뻐요
P1 	: 네네 맞아요 한손에 세개씩 낍니다ㅋㅋ
P0 	: ㅋㅋㅋㅋ궁금해요 구경하고싶어요
P0 	: 길가다 예쁜거 있음 사서 끼시는건가요? 아님 좋아하시는 브랜드가 잇나요
P1 	: 길에서 주로ㅋㅋ 잘 잃어버려서요ㅜ
P0 	: 앜ㅋㅋㅋ
P0 	: 어쩌다 떨어진대욬ㅋㅋㅋ
P1 	: 반지를 안빼니까 그쪽 살이 빠져서 훌렁
P1 	: 빠져요ㅜㅠ
