# FILE DATA
ID : MDRW2100008177
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 식음료

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 왜 말랑한 복숭아보다 딱복이 좋아요?
P1 	: 딱복이 더 먹기 편해용 ㅎㅎ
P0 	: ㅋㅋ 맛도 딱복이 더 있지 않아요?
	  좀더 상콤하달까?
P1 	: 맞아요~~
P1 	: 먹고싶은 음식 있으세요?
P0 	: 음~~찜 닭?
	  ㅋㅋ 음식은 모든 지 좋아해서
	  딱히 먹고 싶은 건 없어요
P0 	: 저녁에 먹고 싶은 거 있어요?
P1 	: 저 물냉면 먹고 싶어요
P1 	: 요즘 여름이라 그런지 입맛이 좀 없어지고 시원한게 땡기네요
P0 	: 잉? 저녁메뉴 물냉인거 어찌 알았죠?
	  친한 사이면 같이 먹구싶넹
P0 	: 엄마한테 해 달라고 하세여
	  면만 삶으면 되는 데
P1 	: 집에 냉면 육수가 없어서 다음에 사오려고요 ㅋㅋㅋ
P1 	: 요즘 갑자기 마라탕이 땡기네요.. 마라탕 맛있는데
P0 	: 마라탕 좋아하는 사람 많더라구요
	  집에서 해 먹긴 좀 낮선음식이죠
P1 	: 저도 마라탕은 밖에서 사먹어요 ㅎㅎ
P0 	: 그렇군요
	  저녁 드셔야죠?
P1 	: 저녁 아직 안 먹었는데 뭐 먹을 지 모르겠어요
P1 	: 추천해주세요ㅎㅎ
P0 	: 저녁엔 자야하니까 담백한
	  된장찌게나 생선구이?
P0 	: 식성이 많이 다르죠?
P1 	: 한식 좋아하시나봐요
P0 	: 네 이따 식사 맛있게 하세요 ^^
