# FILE DATA
ID : MDRW2100014388
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 외모는 불편하지만 않을 수준이면 뭐...
P0 	: 남자는 키 172 이상만 되면 불편없고
P0 	: 여자도 그냥 150 이상이면 되구
P0 	: 살찐사람들은 독하게 맘먹고 빼면 되고
P1 	: ㅋㅋㅋ저 어제 체해서 난리났었네요...
P1 	: 쨌든...요즘 유튜브 뭐봐요?
P0 	: 아이구... 체했을땐 억지로 토하면 한방에 끝나는데
P0 	: 유튜브 잘 안보긴 하는데
P0 	: 김성환유튜브 동천백산 유튜브 보고있어용
P1 	: 동천백산..?
P0 	: 아 신천지같은거 아닙니다
P0 	: 주짓수ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋ아아ㅋㅋㅋ저는 무슨 등산 그런거인줄ㅋㅋ
P1 	: 김성환아저씨 유튜브도 하시나봐요
P0 	: 오 누군지 알아요??
P1 	: 배우 김성환 아저씨...?
P1 	: 아닌가....
P0 	: 아닙니ㄷ...
P0 	: 헬스하시는분인데 나름 유명하셔요
P0 	: 누님은 무슨유튜브봐여
P1 	: 아.....ㅋㅋㅋㅋㅋㅋ배우 김성환아저씨인줄....ㅜ
P1 	: 땅끄부부...참피디...뷰티유튜브여러가지...?
P0 	: 확실히 관심사가 다르네요
P0 	: 저도 전부 첨들어봄ㅋㅋㅋㅋ
P0 	: 참피디는 들어봤다
P1 	: 참피디 간장게장편 보면 간장게장이 엄청 먹고싶어져여
P0 	: 으어어이ㅡㄱ니ㅂㅅㄱㄷㅂㆍ니디
P0 	: 간장게장 진짜 먹고싶다
P0 	: 와
P0 	: 진짜
P0 	: 간장게장 앙념게장 진짜 좋아하는데
P1 	: 참피디 유튜브도 구독해요ㅋㅋㅋㅋ맛있는 거 많이 나옴
P0 	: 저 그것도 봤어요
P0 	: 쯔양 유튜브
P0 	: 라면먹는거
P0 	: 라면 20개씩 먹는거보면 도전의식 생겨서
P0 	: 5개 끓여보려다가
P0 	: 머리맞았어요
P1 	: ㅋㅋㅋㅋㅋ쯔양은 도대체 위가 어떻게 되어있길래 그 양이 다 들어갈까요...
P1 	: 일반인은 함부로 따라하면 안돼요ㅋㅋ
P0 	: 와 그런거보면
P0 	: 심장이 두근거리지 않아요?
P0 	: 나도 뭔가 할 수 있을것같은
P1 	: 아뇨...?
P1 	: 저는 그냥 저사람은 인간이 아니다 하는데...
P0 	: 그러니까 마른거죠
P0 	: 반성하세요
P1 	: ??
P1 	: ㅋㅋㅋㅋ저 다이어트중인데요...ㅜ?
P1 	: 땅끄부부 유튜브보면서 운동 중...
