# FILE DATA
ID : MDRW2100015881
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저도 스벅에서 유일하게 라떼포기하고 차 종류를 먹습니다...
P1 	: 개인적으로 스벅은 원두부터 제취향이 아니에요 ㅋㅋㅋㅋ너무 탄맛나서 ㅋㅋㅋㅋㅋㅋ
P1 	: 고소한맛 씁쓸한맛은 좋아하지만 탄맛은 싫어하거든요 ㅋㅋㅋㅋㅋㅋ
P0 	: 저희 혀에 고소한맛 감별하는 뛰어난 감각이 있나봐요 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 쓸데없이 단호함 ㅋㅋㅋㅋㅋ
P0 	: 하는 말마다 맞말...
P0 	: 고소함의 끝판왕을 찾아라 ㅋㅋ
P1 	: 아 그럼 저의 아이스크림입맛까지 인정해주시는건가요 ㅋㅋㅋ
P0 	: 아 저는 피스타치오 호두 다 인정합니다~ 바닐라도 초콜렛이랑 다를바가 없구여 ㅋㅋㅋㅋㅋ
P1 	: 취향존중 감사합니다 ㅋㅋㅋㅋㅋㅋ
P0 	: 젊은이 신세대 입맛 mz입맛 인정합니다 ㅋㅋ
P0 	: 저는 라떼랑 초코케이크 같이먹는게 이전까지 제 소울푸드였거든요!
P1 	: 누군가와 배스킨라빈스에서 맛고를때 저는 쫓겨났거든요...
P1 	: 보통...ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ아놔 불쌍 ㅠㅠㅠㅠㅠ
P1 	: 아니면 싱글컵에 혼자 먹으라고 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 친구들은 그럼 무슨맛 먹어요??
P0 	: 배라가면ㅋㅋㅋ
P0 	: 어머 배척하는거야 뭐야!!!! ㅋㅋㅋㅋㅋ
P1 	: 엄마는외계인이나
P1 	: 치즈케이크들어간거
P0 	: 아아 사랑에빠진딸기!
P1 	: 아니면 자모카 아몬드 훠지?
P0 	: 이거 치즈조각,딸기,초코 들어간거.. 맛있어옄ㅋ
P0 	: 아아아~~~
P1 	: 뭐 그런거 ㅋㅋㅋㅋㅋㅋ
P0 	: 이렇게 들으니까 왜 할미입맛이라고 하는지 좀 알것같기도하곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아니면 합의를 봐요
P1 	: 그래 초코나무숲 정도로 하자
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 퓨젼!
P0 	: 딱이네여 ㅋㅋㅋ
P1 	: 아니면 아몬드봉봉 정도는 어떠냐
P1 	: 그냥 바닐라는 배라에서 먹는거 아니다
P0 	: 초콜렛을 배라에서 먹는 저 흠칫...
