# FILE DATA
ID : MDRW2100028491
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 직장다니시나요?
P1 	: 네 회사다녀요
P0 	: 퇴근은 하셨죠~?
P1 	: 넵넵 칼퇴했습니다ㅋㅋ
P1 	: 퇴근하셨죠??
P0 	: 역시 칼퇴!
P0 	: 저도요!  6시땡하자마자 퇴근했습니다
P0 	: 1초라도 더 있고싶지않았어요ㅎ
P1 	: 회사 재택도 하시나요??
P0 	: 아니요ㅠ 특성상 재택은 꿈도 못꿔요
P0 	: 재택하는 분들 부러워했다죠
P1 	: 재택만 아예 몇달째 하는 분들도 많더라고요
P1 	: 대단
P0 	: 와우; 그거 약간 너무 부러운데요
P0 	: 회사 나오기 싫어요...진짜 징글징글하다죠
P1 	: ㅜㅠ 재택하면 9시반까지가 최고 행복해요
P1 	: 근데 일의 능률은 확실히 회사가ㅜ
P0 	: 아 그래요? ㅠㅠ
P0 	: 그날 업무 재출하고 해야해서 그런가요?
P1 	: 집은 노트북이거나 모니터한댄데ㅜ 회사는 듀얼!!!
P1 	: 그리고 관리부서라 출근을 아예 안할 수는 없어요ㅜ
P0 	: 아하ㅠ
P0 	: 그런거라면 힘들겠네요
P0 	: 저는 대면해야하는 직업이라 재택은 꿈도 못꾸네요
P1 	: ㅜㅜ 코로나시국에 가장 힘든 직업이시네요ㅜㅠ
P0 	: ㅠ네 코로나검사도 거의 매주 했었어요
P0 	: 잠깐. 안하다가 최근에 다시 했었네요
P1 	: ㅜㅜ 진짜 고생하셨네요ㅜㅜ
P1 	: 그럼 백신도 빨리  맞으셨겠네요?ㅜ
P0 	: 맞아요 ㅎ 아스트라 맞았어요
P0 	: ㅠ
P1 	: ㅜㅜ 고생하셨어요 2차는 화이자 맞으시고요?? 코로나로 직업차가 엄청 나게된거같아요
P0 	: 아뇨 2차까지 진작 맞았어요ㅎ
P0 	: 둘 다 아스트라였어요
P1 	: 대면하는 직업이면 진짜 스트레스도 많이 받으시겠어요ㅡㅡ
P1 	: ㅠㅠ
