# FILE DATA
ID : MDRW2100044677
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 서울
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>형제자매
intimacy  :  4
contact_frequency  :  주 1~2회

P1 	: 헐 전원투표 뭐야
P1 	: ㅜ
P1 	: 떨려떨려
P0 	: 와 워스트댄서가 지목하다니
P1 	: 와 진짜 너무 무섭다
P0 	: 메인댄서 지목할수도 있잖아
P1 	: 그치
P1 	: 만만해서 지목당해도 진짜 열받을듯
P1 	: ㅋㅋㅋㅋ
P0 	: 응 그리고 우리 크루원 건드리면
P1 	: 왤케 침들을 바를까
P1 	: 코로나 옮으면 어케
P0 	: ㅋㅋㅋ비말감염 위험
P0 	: 다들 이 갈고 추네
P1 	: ㅋㅋㅋㅋㅋ그니까
P1 	: 멋있다
P1 	: 저 훅이 지난번에 엄청 지목당했어서 이겼음 좋겠어
P0 	: 응 훅이 만만한 느낌ㅜ
P0 	: 혀 를 다들
P0 	: 저 동네 도발스타일인가?
P1 	: ㅋㅋㅋㅋㅋ그런가봐
P0 	: 다들 멋있네
P1 	: 엉덩이나 혓바닥을 내미는게
P1 	: 공격자세인가봐
P0 	: ㅋㅋㅋ
P0 	: 그런가봐
P0 	: 와 몰표...
P0 	: 자막과 말이 달라
P1 	: 헐 냉정하네
P1 	: 아이돌이라 차별도 당하는 부분 있는거 같고?
P0 	: 다들 냉정해ㅜ
P0 	: 채연이도 뭔가 매번 무시당해서ㅜ
P1 	: 와 그래도 0대 몰표라고 하면
P1 	: 넘 슬프다
P0 	: 응 저기 앉아있기 힘들듯
