# FILE DATA
ID : MDRW2100007586
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 도대체 알1바가 왜 나쁘다고 자르는지 모르겠지만 알1바 해봤어?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아르바이트해봤지
P1 	: 학원!
P0 	: 오 학원
P1 	: 너는???
P0 	: 공부 쫌 하나본데~
P0 	: 나는 식당이랑 병원 ㅎㅋㅎ
P1 	: 헐헐 병원 어떤거??
P0 	: 쿠팡 알바도 해보려구
P0 	: 한의원이용
P1 	: 병원 아르바이트 신기행
P1 	: 아아 접수해주시는분??!
P0 	: 웅
P1 	: 어때 힘들어??
P0 	: 그거랑 잡일이랑..... 핫팩 깔아주는 거?
P0 	: 개꿀이지
P1 	: 아아ㅠㅠ 물리치료이런거 돕는거구낭ㅠㅠ
P0 	: 데스크에서 트위터하구 쇼핑하구 그래
P0 	: 그치그치
P1 	: 그래도 사람 스트레스는 덜할거같기도하고ㅠㅠ
P0 	: 아유 당연하지
P1 	: ㅋㅋㅋㅋㅋㅋㅋ좋다 내맘대로하는거
P0 	: 간호사같다고 존대써줌
P1 	: 돈은 마니줘??
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ존대 써주는게 어디야..ㅠㅠㅠㅠㅠㅠ
P0 	: 꽤?? 솔직히 최저보다 덜 받아도 될만큼
P0 	: ㅋㅋㅋㅋㅋㅋㅋ비애다...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ슬프다...
P1 	: 나름꿀알바네ㅎㅎ
