# FILE DATA
ID : MDRW2100022948
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 레드 벨벳 머리색으로 멤버 이름 외우던 시절이잖아
P1 	: 라고 했음
P0 	: 아
P0 	: 맞아
P1 	: 진심 그때 처음 나왔을 때 그랬는데
P0 	: 진짜
P0 	: 데뷔무대봤었는데
P1 	: 퍼란색 웬디래 막
P1 	: 어어어
P0 	: 뭔가최근같은데
P0 	: 생각보다엄청오래됨
P1 	: 그니까 노래 지금 들어도 그렇게 오래된 것 같지 않은데
P0 	: 7년전임
P0 	: 마장
P1 	: 막 14년도 15년도 노랴일때 많고
P0 	: 노래어직도좋음
P1 	: 그니까
P1 	: 아직도 행볻 들을땨
P1 	: 뿌야 하고
P0 	: ㅋㅋㅋㅋㅋㅋ맞아
P1 	: 세상에서 내가 제일 좋다는 울엄마
P1 	: 따라한다고
P1 	: 제일 발음 젤로 해야함
P0 	: ㅋㅋㅋㅋㅋㅋㅋ마잨ㅋㅋㅋ
P0 	: 그리고
P0 	: 그뿌야
P0 	: 타이밍잘맞춰야됨
P1 	: 맞지맞지
P1 	: 진짜 어긋나면 탄식 절로 나옴
P1 	: 유가러비뽈
P0 	: 뭌ㅋㅋㅋㅋㅋㅋ그니까
P1 	: 여롹더월
P1 	: 뿌야!
P0 	: 아이스크림케이크도
P0 	: 좋았는데
P0 	: 노래말고도
P0 	: 그분위기자체가
