# FILE DATA
ID : MDRW2100001931
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기술직 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  기타>동호회/스터디
intimacy  :  3
contact_frequency  :  주 1~2회

P0 	: 게임 하시는거 있으세요?
P1 	: 지금은 없어요.
P0 	: 저 퍼즐맞추는 겜 하고있는데 은글 앱테크로 쏠쏠해쇼
P1 	: 예전엔 레알팜? 잠도안자고 했는데~
P1 	: 오~~~어디서 하는건데요?
P0 	: 플레이랑이라고 그냥 마프에서 있던퍼즐 맞추는건데
P0 	: 첨에는 복잡해보여도 알면 별거없거든요
P0 	: 잠시 빠져있을땐 40일하고 5만원벌기도했는데
P1 	: 와~~ 대박이요.  전 돈쓰면서 겜했는데
P0 	: 레알팜은 농장키우는건가요?ㅎ
P0 	: 요즘 겜에서 작물키워서 진짜 집으로 받아볼수 있다던데 그겜인지
P1 	: 네.매달 5500쓰고 몇달만에 쌀10키로받아봤어요^^
P1 	: 신랑말이 그돈이면 쌀20키로샀다고~~
P0 	: ㅋㅋ 진짜 주는거예요? 신기하네요
P0 	: 나름 재밌겠어요 키워서 진짜 집으로 받아보니
P1 	: 재미는 있었어요~~ 잠을 못자고해서 피폐해져요
P1 	: 앱테크안했음 지금도했을꺼같아요
P0 	: ㅎㅎ 중독될듯 하네요ㅎ 저도 플레이랑 돈이 쌓이니 자꾸 밤새하게되더라구요
P1 	: 퍼즐겜도 재미있겠어요.
P1 	: 하나하면 그거에빠져서 함부로 못하겠어요. 해보고는싶은데
P0 	: 투자하는대비 돈이들어와서 좀힘들긴해요 시간많이들여야해서
P1 	: 그냥 출석이나하고 만보기나하고 그래야겠어요
P0 	: 얼마전에 가위바위보하는 짬뽕겜있었는데  영업정지됐더라구요
P0 	: 하루에 100원씩줘서 좋았는데
P1 	: 헐~~~ 올초인가? 그때 많이들했던거잖아요
P1 	: 마셔바랑 같은 족속들인가보네요. 정보빼먹고 한탕하고 폐업하고ㅡㅡ
P0 	: 네 겜 운영자가 진짜 유저들 진짜 생각해주는데
P0 	: 구글측에서 막았대요ㅠㅠ 사행성 조장한다고
P1 	: 헐~~ 구글에서요?
P1 	: 사행성은~~~ 엄청난돈걸고하는것도아닌데
P0 	: 어케든 보상줄려고 하는데 자꾸 막나봐요
P1 	: 막으면 어쩔수없겠네요
P1 	: 그래도 정직한사람인가보네요. 해주려고 노력하니...
P0 	: 다른방법 찾고있다는데 가위바위보 겜은 더이상 안되는거같아서 얼마전에 지웠어요 아쉽
P1 	: 나중에 다시하면 그때 다시하세요
