# FILE DATA
ID : MDRW2100043851
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 가고 싶은데 너무 멀고 가게가 너무 바빠서 포기입니당..ㅠㅋㅋㅋ 과자 뭐 좋아하세요
P1 	: 과자 저 감자칩 제일 좋아하고
P1 	: 과자 안가려요 ㅋㅋㅋㅋㅋ
P0 	: 저 여기서 추천받은거 알려드릴까요
P1 	: 뭐 추천받으셨어요??
P0 	: 콰삭칩이요!!!!
P0 	: 제가 그래서 먹어봤거든요??
P0 	: 쫀맛
P0 	: 트러플 뭐시기랑 어니언 뭐시기 두개 있었는데
P0 	: 몰라서 둘다 샀는데 둘다 맛있어요
P1 	: 아 저 먹어봤어요!!
P1 	: 맛있더라고요
P1 	: 트러플!!
P0 	: 할!!!
P0 	: 이미 드셔보셨군요
P1 	: 맛있져!!
P1 	: 오징어땅콩 이마트에서만 파는
P1 	: 치즈매콤맛인가 그거도 나름 맛있더라고요
P0 	: 므야!! 저 그런 맛있는거 못봤는데!!!!
P0 	: 이름만으로도 맛있는데요!
P1 	: 그거 맛있어요 맥주랑 먹으면 딱일거 같았어요
P0 	: 술을 안마시지만 저는 안주가 좋으니까 보이면 살게요!
P0 	: 하 맛있겠다
P1 	: 저도 술을 잘 안하는데 그냥 먹어도 맛있었어요!!
P0 	: &name2&님 갑작스럽지먼
P0 	: 만
P0 	: 알마치아시나요
P1 	: 알마치는 뭔가여??
P0 	: 알싸한 마늘 치킨이라고 노랑통닭이라는 브랜드에서 파는거거든요
P0 	: 갑자기 추천하고 싶었어요
P1 	: 오 알마치요 먹어볼게요!!!
P1 	: 추천받으니 좋아욬ㅋㅋㅋ
P1 	: 사먹어볼게 늘어섴ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋ 마싯어요 ㅎ헿
