# FILE DATA
ID : MDRW2100030240
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 빠꾸도 없어
P1 	: 게임.... 세포신곡 하고싶다
P0 	: 제출하시겠습니까?도 없네..
P0 	: 아 나 세포신곡
P0 	: 영업좀 해줘봐
P0 	: 나 상당히 흥미로워요.
P1 	: ㅋㅋㅋㅋㅋ 세포신곡 진짜 재밌어
P0 	: 아무것도 모르고 네 트윗몇개랑 애들 얼굴 정도만 봐서
P1 	: 내가 직접 한 첫 공포게임...
P0 	: 무슨 게임인지도 몰라
P0 	: 와...두번째 공포게임 리틀 나이트메어로 만들어드리겠습니다.
P1 	: 아 ㅋ ㅋ ㅋ ㅋ ㅋ ㅋㅋㅋㅋ
P1 	: 이게 15년도쯤인가에 나온 공포쯔꾸르 게임인데
P0 	: 공포는 역시 쯔꾸르지
P1 	: 탐정인 주인공이 자기 동료이자 후배인 애가 실종되서 추적하다가 엄청난 사건에 휘말리게 돼
P0 	: 와 벌써 흥미로워
P1 	: 주 키워드가... 사이비 종교... 비윤리적 실험...
P0 	: 아 너무 좋아
P0 	: 쬬상 그거 추천드리고싶다.
P1 	: 엔딩 루트가 좀 많고
P0 	: 키미가시네
P0 	: 와 엔딩루트 많은거 너무 좋아
P1 	: 진행할때도 무슨 힌트를 갖고있냐에 따라 스크립트 출력이 달라져서
P1 	: 되게 쯔꾸르다운 숨은 요소가 많은????
P0 	: 오오 이브랑 시스템이 비슷하네. 이런게 제일 좋지...
P0 	: 명작쯔꾸르의 묘미
P1 	: 근데 진짜 무서워 나 디코하다 비명질렀잖아
P1 	: 깜놀 갑툭튀가 좀 있더라고...
P0 	: 무서울것같은데 재밌겠다.. 그냥 다운 받을 수 있나요?
P0 	: 아놔 갑툭튀~~
P1 	: 응!!!! 검색하면 공식(인데 비공식이라고 하는) 번역판 다운 나와
P0 	: 괄호부분이 이해가 안가지만 일단 오케이 ㅋㅋ
P1 	: 좀... 다운 절차가 옹삭시럽긴 한데 겜 자체는 재밌다
P1 	: 여기 제작사가 이런저런 제약을 많이 걸어놨도라고
P0 	: 이브는 해봣어?
P1 	: 이브??? 아직!!
P0 	: 아하.....뭐 다운 받을 수 있으면 됐지
P0 	: 이브..뭐 알아?
P0 	: 스포라던가..들으셧나요?
P0 	: 안들으셨길 바라는 질문
P1 	: 나 진짜 아무것도 몰러
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 와 당신
