# FILE DATA
ID : MDRW2100023026
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 너무 뻔히 보이는 거짓말은 가끔 부작용도 일어나요ㅎㅎ
P1 	: 그래서 그 상무가 정직원을 뽑음요ㅎㅎㅎㅎㅎㅎ
P0 	: 그쵸 스스로 자신을 깍아먹눈거죠
P1 	: 아무래도 바보같애요
P1 	: 저희회사가 여직원들한테는 엄청 좋은회사거든요
P1 	: 지금이야 다르지만
P1 	: 정년보장될꺼에요
P0 	: 그런 회사가 최고 좋지요~~
P1 	: 이제 오티 접속하고 올께요ㅎㅎ
P1 	: 떨리네....
P0 	: 네넹 ㅋ 저는 배터리 나간지도 모르고ㅠㅋ
P0 	: 오티 궁금하긴 하네요 ㅋ
P1 	: 오ㅎㅎ 멀티가되요ㅎㅎ
P1 	: 보면서 심심이 할수있을것같애요ㅎ
P0 	: ㅎㅎㅎ 다행이에요 ㅋ
P0 	: 혼자 휴대폰보고 웃으면 상대방 오해해요풉 ㅋㅋ
P0 	: 재밌더라도 너무 티나게 웃지 않기
P1 	: ㅎㅎ 마이크껐어요ㅎㅎㅎ
P1 	: 근데 잼나긴하네요ㅎ
P1 	: ㅎㅎ 그래도 좋은정보 줄것같긴헤여ㅎ
P0 	: ㅎㅎㅎ  다행이네요
P0 	: 재미도 없으면 넘 지루~
P1 	: 맞아요ㅎ 재미없으면 너무 지루하죠
P1 	: 근데 벌써부터 잠오는건뭐죠?ㅎㅎ
P0 	: 피곤해서요
P1 	: ㅎㅎㅎㅎㅎ
P1 	: 피곤하긴해요ㅎㅎ
P0 	: &name2&도 피곤 넘 쌓인듯
P0 	: 스트레스도 글구 업무도 글쿠
P1 	: &name1& 어제 언제주무심요?
P0 	: 앱테크도 정신없이 하시고
P1 	: 에이 이건 제가 이상해서그래요ㅎ
P1 	: 그냥 시간이 아까움요ㅎ
P1 	: 너무아까워요ㅎ 잠자는게ㅎㅎ
