# FILE DATA
ID : MDRW2100027768
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 그래서 이상형이?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 연예인요?
P0 	: 태연이라며요
P0 	: 하얗고 작은사람좋ㅇㅏ하네
P1 	: 올
P1 	: 한지민 태연
P0 	: 하얗고 눈크고 예쁜애
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 근데 이건 이상형일뿐인거고
P1 	: 오히려 싫은거 뽑는게 낫지않나
P1 	: 생각합니다
P1 	: 일단 님 이상형 머에요?
P0 	: 저 무조건 강아지상
P0 	: 웃을때 눈웃음
P0 	: 싫은건 뭐,, 못생긴거싫겟죠 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 나네
P1 	: 전 백치미 싫음
P0 	: 아 골빈거
P0 	: 다싫어할듯
P1 	: ㅇㅇ 잘 모르는게 죄는 아닌데
P0 	: 예를들어봐요
P1 	: 연옌으로 치면 박화요비 싫어요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아진짜 언제쩍사람인데요
P0 	: 진짜웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 어릴땐데
P1 	: 그때 아 나 저런거 싫어하는구나
P1 	: 티비보고 깨달음
P0 	: 20대초한테 말하면 아무도모름 솔직히
P1 	: 근데 친척 동갑내기는 좋아하는거에요
P1 	: 저 초딩때니가 뭐
P0 	: 왜지 귀여우니까그런가
P1 	: 모를만하지
P1 	: 그렇대요
P0 	: 그게 좋게말하면 귀엽고 나쁘게말하면 골빈거임
P1 	: 최근엔 누가있지?
P0 	: 요즘애들은 교육잘받고와서 딱히없음
P1 	: 채연
P0 	: 나나나?>
P0 	: 나나나 부른애요?
P1 	: 다 옛날 사람들이네
P1 	: ㅇㅇ 백치미는
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 요즘애들 백치미거의없는듯
P1 	: 그땐 그게 먹혔나봐요?
P1 	: 그러게요
P0 	: 저번에 전효성인가 국사 잘못알아서 쌍,욕먹고
P1 	: 생각해보니 그렇네
P0 	: 한국사 그거땃자나요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그거봄ㅋㅋㅋ
P1 	: 멋짐
P0 	: 요즘사람들은 칼,같아서
P1 	: 그런건 갠츈
P0 	: 그래서 전여친이 태연닮았었음?
P1 	: 빠른 사과 좋습니다
P1 	: 그럴리가요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그나마 닮았다면 박보영?
P0 	: 오 귀염상이엿네
P1 	: 닮았다고 들은 연예인 있어요?
