# FILE DATA
ID : MDRW2100019247
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 혹시 요즘 위시템 있으신가요??
P1 	: 음...저는
P1 	: 필카 가지고 싶어여!!!
P1 	: 오늘 이렇게 대화했는데
P1 	: 벌써 뭔가 친해진느낌,,,,ㅌㅋㅋㅋㅋ
P0 	: 필카! 저두 갖고싶어요 ㅋㅋ 근데 막상 사면 별로안쓸거같아서 위시템까지는 아닌아이템 ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ 그러게요 !! 이렇게 잘맞는분걸려서 기분좋아요 ㅋㅋㅋㅋ
P1 	: 아잌ㅋㅋㅋㅋ 그니까여
P1 	: 저두 친구가 도와달라고래서
P1 	: 앱깔았다가
P1 	: 이렇게 좋은분만나서너무 좋아여!
P1 	: 사실 다른 톡오는거 다 차단하고있거든여,,, ㅋㅋㅋㅌㅋ
P0 	: 앜ㅋㅋㅋㅋ 저두 요새 친구들하고 연락하는거에 회의감?같은거느껴서 톡 자제중이에요 ㅜㅋㅋㅋㅋ
P0 	: 친구분 부러워요! 전 동생이 도와달래서 깔았어요 ㅋㅋ
P1 	: 아아아
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이러다
P1 	: 저희둘이서
P1 	: 채워보는것도,,,(?)ㅋㅋㅋㅋ
P0 	: 좋아요! 해보자구요!! ㅋㅋㅋ
P0 	: 참 쇼핑에관해서 얘기해야하네요
P1 	: 조아여!!!
P1 	: 필카,,,저는 사진찍는게취미라
P1 	: 꼭살거에여
P0 	: 아하! 어디꺼 노리고계신가요?
P1 	: 일회용 필카는있는데
P1 	: 그거말구 좋은거,,,코닥!!
P0 	: 역시 코닥 ㅋㅋ
P0 	: 얼마전에 의류도 낸거같던데
P1 	: 우엉 ....멋지다
P1 	: 소비자들에게 사라고하는 그런느낌
P0 	: 맞아요 ㅋㅋㅋ 그 코닥만의 노란색이 특징이더라구요
