# FILE DATA
ID : MDRW2100002685
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  3
contact_frequency  :  주 1~2회

P0 	: 사무실 이전했잖아 스트레스 엄청 나...
P1 	: 왜여왜여
P0 	: 문 앞이라서 너무 시끄럽고
P0 	: 다들 내 모니터 쳐다봐
P1 	: 헐. 또 문 앞이에요?
P0 	: 응...이번에 자동문이라서 열리고 닫힐때마다 위잉  소리나
P1 	: 아. 에바다.
P1 	: 진짜 신경쓰이겠는데
P1 	: 합법적으로 이어폰 꽂게 해주라
P0 	: 아까 일하는데 &name3&과장이 모니터 쳐다보더라
P0 	: 내가 무슨 일 하는지 무슨 상관인ㄷㅔ
P1 	: 그 사람은 진짜
P1 	: 자기 일 안하네요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 내 퇴사의 5할은 쟤 때문이다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아나
P1 	: 너무 큰데?
P0 	: 그치? 사람 스트레스 장난 아냐
P1 	: 야.. &name3&과장.. 너 뭐야.. 왜 과장 달았노..
P0 	: 짬 차기만 하면 진급 시켜주니까...
P1 	: 진짜...
P0 	: 사람들 그리도 뭐 모르면 다 나한테 물어봐
P1 	: 원래 돈 더 많이 받는 사람들이 일도 좀 더 해야하는데
P1 	: 이 나라는 올라갈 수록 돈 많이 받도 아랫사람만 부려먹고
P0 	: 어제도 퇴근했는데 팀장님한테서 전화가 온거야
P1 	: 책임전가하고 ㅋㅋㅋㅋㅋㅋ
P1 	: 네ㅔㄴ
P0 	: 열쇠 어디다 뒀냐고 물어보더라
P0 	: 아 자기가 들고 다니더니 왜 나한테 물어보냐고
P0 	: 그래놓곤 찾았대
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 뜬금없다 뭐 집에 있는 엄마 아빠야 뭐여..
P0 	: 그저께는 &name4&대리님 컴퓨터 비번 뭐냐고 이사님이랑 이과장님이 나한테 물어보더라
P0 	: 내 컴퓨터도 아닌데 내가 어떳게 알아 인간들아
P1 	: 아니 ㅋㅋㅋㅋ 막내가 봉이야 뭐야
P1 	: 막내=만능?
P1 	: 연차 높은 사람들이 만능이 되어야 하는 것 아닌가욤...
