# FILE DATA
ID : MDRW2100033596
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 학교 다닐 때
P1 	: 스트레스 주로 뭐때문에
P1 	: 받으셨어요?
P0 	: 아무래도 대인관계
P1 	: 아 대인관계....
P0 	: &name2&님은요?
P1 	: 저도 대인관계로 스트레스 받응 적도 있는데
P1 	: 최대는 발표였어요ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 발표 너무 부담스러워요
P0 	: 막 시작하기도 전에 심장 쿵쿵거리고
P0 	: 남들 앞에 선다는 게 좀 부담스러운 것 같아요
P1 	: 네 맞아요
P1 	: 정말 너무 어려운 거 같아요
P0 	: 수강 신청 어땠어요
P1 	: 수강신청은 실패 한적도 있지만
P1 	: 거의 올클이였어요 운이 좋았죠
P1 	: &name1&님은요?
P0 	: 오진짜 부럽다
P0 	: 저는 손이 느려서 실패한 적이 더 많아요
P0 	: 수업 듣는 것까지 경쟁을 해야 한다는 게 너무 짜증났어요
P1 	: 저도 그때만 운이 따르더라구요
P1 	: 어 맞아요
P1 	: 등록금 내는데 어이없어요
P0 	: 등록금이 싼 것도 아니고 비싼데
P0 	: 수업도 내 마음대로 듣지도 못하고
P0 	: 대학이 뭐 이래 했던 거 같아요
P1 	: 그러니까요 대학 체제가
P1 	: 너무 어이없어요
P0 	: 그니까요
P0 	: 등록금 아까워요
