# FILE DATA
ID : MDRW2100033854
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 떡볶이는 좋아하세요?
P1 	: 네 없어서 못먹죠 ㅎㅎ
P0 	: 어떤브랜드 좋아하세요?
P1 	: 전 신전요
P1 	: 그리고 동네 가게에서 자주 먹어요 ㅎㅎ
P1 	: 가깝고 맛도 적당해요
P1 	: 아 비오는데 튀김이랑 저녁에 먹어야 겠어요
P0 	: 신전 존맛이죠ㅋㅋㅋ
P0 	: 맞아요 저도
P0 	: 엽떡vs신전하면
P0 	: 신전이예요
P1 	: 신전이죠
P1 	: ㅋㅋ
P1 	: 오뎅튀김에 스팸컵밥 윽
P0 	: ㅋㅋㅋ
P0 	: 로제는 어떠세요?
P1 	: 음 것도 먹어요
P1 	: 전좀 오리지날쪽이나
P1 	: 치즈 추가요
P0 	: ㅋㅋㅋ 오리지널쪽이시군요
P0 	: 떡볶이에 면사리는 뭐넣으시나요
P1 	: 네
P1 	: 로제세요?
P1 	: 그냥 전 라면이요
P0 	: 전 사리는
P0 	: 우동사리파입니다ㅋㅋㅋ
P1 	: 오 그렇군요
P1 	: 전꼬들 라면파요
P1 	: 우동 함 먹어보까요 ㅋㅋ
P1 	: 전 튀김에 꼭 넉어요
P1 	: 아 저녁에 시켜야겠어요 ㅋㅋ
P0 	: ㅋㅋㅋㅋ 좋아요ㅋㅋㅋ
