# FILE DATA
ID : MDRW2100011244
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 점심은 뭐드세요?
P1 	: 저희는 식단표 없어요
P1 	: 그냥 가서 주는거 먹는ㅠ
P1 	: 매일매일이 랜덤박스입니다
P1 	: 차라리 사먹고싶네요
P0 	: 아? 기대될거같은데요 ㅋㅋㅋ
P1 	: ㅖ?? 매일 실망하실걸요ㅋㅋㅋㅋㅋㅋ
P1 	: 가끔씩 군대밥도 이정돈 아니었는듯 이럽니다
P1 	: 점심 뭐드세요? 식단표가 있죠??
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 네 여긴식단표있어요
P0 	: 순두부백탕 오징어볶음 야채계란찜 쑥갓나물이네요
P1 	: 저 순두부가 진짜 손으로 만든거면 맛있는데
P1 	: 강릉에서 진짜 맛있게 먹었어요
P1 	: 저희는 뭐나오려나
P1 	: 밥은 맛있게 나오나요?
P0 	: 아,,, 제가 주문넣는데 그냥 마트 순두부입니다만,,,ㅋㅋㅋㅋㅋ
P0 	: 네 맛있어요 살찌게생겻슴다
P1 	: 오ㅋㅋ 제일 부럽네요
P1 	: 밥이 맛있어야 일할 맛이 나지
P1 	: 저희는 의욕저하
P0 	: 간식이라도 몰래몰래드세요 ㅋㅋㅋㅋㅋ
P1 	: 간식 구비되어있나요? 여긴 없습니다ㅋㅋㅋㅋㅋ
P1 	: 그래도 음료수는 있어요
P1 	: 감사하게도
P0 	: 아 제가 아동쪽에서 일해서 사실 제가 먹고싶은간식 애들간식으로 많이사요 ㅋㅋㅋㅋ
P0 	: (비밀입니다)
P1 	: 오ㅋㅋㅋㅋㅋ
P1 	: 완전좋네요
P1 	: 오예 불고기 나왔습니다 맛점요
P0 	: 저는 닭봉조림먹었어요 메뉴바뀜 ㅎ
P1 	: 오 간장소스인가요?
P0 	: 넹 완전맛있었어여 한 10개는먹은듯
P1 	: ㅋㅋㅋㅋ닭다리보다 닭봉이 맛있더라구요
P0 	: 저는 지금 아아에 로아커먹고있어요 스르륵녹아요 졸맛이다
P1 	: 와 저 로아커 우유맛 진짜 좋아하는데
P1 	: 드셔보셨어요?
P0 	: 우유맛이요? 아뇨
P0 	: 저는 초코랑 바닐라만 먹어봣어요 우유맛도있구나
P1 	: 헐 이걸 모르시다니
P1 	: 진짜 맛있어요 물론 기호에 따라 다르겠지만
P1 	: 꼭 드셔보세요
P0 	: 그럼 흰색껍질이겠네요?
P1 	: 오 맞아요
P1 	: 고수시군요ㅋㅋㅋㅋ
P1 	: 하 바쁘네요 오전엔 한가했는데
P0 	: 저는 칼퇴했습니다 ㅎㅎㅎ
