# FILE DATA
ID : MDRW2100040065
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 몰라 갑자기 라노벨의 산지 일본 배경이라
P1 	: 미쳐날뛰나?
P0 	: 가뜩이나 스토리도 개연성 날렸는데
P1 	: ㅇㅇ번역이라도 좀
P0 	: 번역까지 이상해서
P0 	: 겜에 더 몰입 안됨
P1 	: 무게감 있게 하란말야
P1 	: 선택지도 짜증나
P1 	: 갑자기 야에한테 여우모습 보여달란 선택지가
P1 	: 왜 필요해?
P1 	: 안궁금해
P1 	: 개연성이 없어
P1 	: ㅎㅏ
P1 	: 일단 쿠죠사라까지 나왔어
P1 	: 좀 더 봐보겠어
P0 	: ㅇㅇ 이번 스토리 ㄹㅇ 이상함...
P1 	: 갑자기 카미사토 아야카한테
P1 	: 닌자부대가 있다고???
P1 	: 갑자기.....라노벨을 바가지로
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄴㄴ
P1 	: 퍼다 붓는데......
P0 	: 아야카 오빠인 아야토
P1 	: ㅇㅎ
P1 	: 여튼
P0 	: 카미사토 가주인데 모습도 안드러내고
P1 	: 개연성 어디갔어
P0 	: 일단 설정상 중립이래
P0 	: 그니까 ㅋㅋㅋㅋㅋ
P1 	: 아니 뭔 닌자부대야
P1 	: 애초에 암살자한테
P1 	: 부대가 왜 필요해
P1 	: 나루토만 보다가 뇌가리 돌아가버렸나
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅇㅏㅎ
P1 	: 그니까
P1 	: 쿠죠봉행이 애초에 문서부터 조작했다?
P1 	: 들리나요?
P1 	: 세탁기 돌아가는 소리?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 뭔 신이
P0 	: 근데 또
P1 	: ㅃㄷㄱㄹ도 아니고
P0 	: 나중에 얘기 나오긴 하지만
P0 	: 뭔 부작용이 있는지 모르는 것도 아님
P0 	: 일단 다 알고 있긴 해 ㅇㅇ
P1 	: 와 근데 그럼 중국이 보는ㅎ 일본이란
P1 	: 이런건가?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그런듯
P0 	: 그리고 사실
