# FILE DATA
ID : MDRW2100009607
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋㅋㅋㅋ사실 그 코모사쿠는
P0 	: 네네
P1 	: 만화기준 메이저였거든요 점프기준?
P0 	: 맞아요
P1 	: 관계성 나오자마자 다들 손절..
P0 	: 후두둑
P1 	: 바쁘게 흩어지는 코모사쿠.....
P1 	: ㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 하이큐 작가님 큰일하셨다.
P1 	: 아휴~~~~;;
P0 	: 뭔 에프킬라 뿌리듯이
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 진짜 그때 탐라 잊을 수 없어요
P0 	: 충격
P0 	: 다들 비활
P1 	: 뭐 뭐라고? 계폭갈깁니다 이러면서 ㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저는 진짜 카와세미가 첨으로
P0 	: 카와세미로 처음으로 그림그렸어요
P1 	: 와 헐 진짜요?
P0 	: 네네네
P1 	: 그림 본거아닐까요 하..
P0 	: 아마 아닐걸요
P0 	: 왜냐면 그때 넘 못그려서
P1 	: 저 비계였거든요 그때 하....
P0 	: 손가락 6개더라고요
P0 	: ㅋㅎ..!
P1 	: 공계로 설쳤어야 &name3&이 아놔
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아기그림러시절!!!그럴수있다!
P0 	: 맞다..!!
P0 	: 그래도 저 그림 빨리 는다고
P0 	: 칭찬받아서
P1 	: 하 역시 천재의 재능은 뒤늦게 나타나는구나...
P0 	: 쓸디 장르에서
P1 	: 님 천재라 재능이 늦게 나타난거잖아요.하..
P0 	: 외국인이 우는 움짤 보내고 그랬었습니다
P0 	: &name2&님은
P0 	: 어떤 연성 했나요
P1 	: 저...
P1 	: 폰연성이요. 글도 그림도 아닌 하 씁 이 장면 이구도 너무좋다~;
P0 	: 앜ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아 썰
P0 	: 그거 아시죠
P1 	: 썰이라고 하기에도 애매하다고요~~~~!
P0 	: 썰계 글계 그림계 주접계 이렇게 4명있으면
P0 	: 메이저된다고
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아진짜웃겨ㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 하지만 전 개미핥기였어요
P0 	: 근데 카와세미 어케
P0 	: 어케 이러지..?
P0 	: 어케 겹치지..?
P0 	: 그냥 &name2&님이 다 먹으신건가..?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 근데 솔직히...카와세미가...대박인게
P1 	: 아니라고요~~~~!ㅋㅋㅋㅋ아놔ㅠ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 카와니시 그 만화 그림체
P0 	: 혁명이라구요
P1 	: 얼굴합이..
P0 	: 금발 미쳤어
P0 	: 저는 애니보다 만화 그림체를 좋아햌ㅅ어요
P1 	: 그게 약간 이게.. 하이큐내에 찐 얼굴합은 카와세미다..
P1 	: 애니가 망친 친구들 좀 있죠
P0 	: 추억에 젖어듭니다
P1 	: 예를들면 후쿠로다니의...
P0 	: 예아
P0 	: 아니 애니는 세이죠만 잘그려준거같은데
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ오이카와만 나오면
P1 	: 빤짝빤짝 속눈썹!
P0 	: 맞아욬ㅋㅋㅋㅋㅋㅋ
P0 	: 갑자기 아랫입술 생기고
P1 	: 아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 부럽다..! 세이죠 녀석들
P1 	: 세이죠 애니팀이 사랑한 학교일거라고요ㅠ
P1 	: 카라스노보다 진심인.
P0 	: 맞아욬ㅋㅋㅋㅋㅋㅋ
P1 	: 그 뭐지 저 사실
P1 	: 아카켄마도....살짝 좋아했는데 제가 좋아할땐
P1 	: 진짜 저 혼자 있어서
P0 	: 헐
P0 	: 아카켄마
P0 	: 선두주자이신거에요??
P1 	: 아놔 그건아니라고요~~~!
P1 	: 아마 다른분들이랑 안닿은거같아요 ㅠㅠㅋㅋㅋㅋㅋㅋ
P0 	: 그거 준메이저잖아요
P0 	: 아니 막 서로 바라보며
P1 	: 사실 도쿄합숙시절에는 둘이 연관이 전혀없어서
P0 	: 만화책애서 서로 바라보며 미소짓는 그 장면에서
P0 	: 두근거리셨겠어요
