# FILE DATA
ID : MDRW2100040414
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅎㅎ 지역이 어디세요?
P1 	: 저는 가을 좋아요
P0 	: 여기는 강원도요
P0 	: 엇! 저도 가을이 제일 좋아요
P1 	: 오 강원도 사시는구나 저는 서울입니당
P1 	: 가을은 너무 인기계절이죠 ㅋㅋㅋㅋ
P1 	: 여름은 너무 덥고 겨울은 너무 추워요
P1 	: 봄도 추워요..
P0 	: 맞아요! 덥지도 않고 춥지도 않은 때라서 좋아해요
P0 	: 그리고 선선한 바람도 좋아요
P1 	: 맞아요 약간 오바지만 폐까지 시원한 느낌 ㅋㅋㅋ
P0 	: 맞아요ㅋㅋㅋㅋㅋ 시원하지만 또 그렇다고 춥지 않은 바람이라 좋아요
P1 	: 네 ㅋㅋㅋ 기분도 좋구요 무엇보다 하늘이 깨끗하고 높아보이는게 좋아요
P1 	: 그리고 가을되면 코스모스 피는것두요!
P0 	: 맞아요! 하늘도 정말 예쁘죠
	  코스모스는 잠시 잊고있었는데 이야기들으니 떠오르네요!
P1 	: 코스모스 진짜 예쁘지 않나요?
P1 	: 색깔도 여러가지고
P1 	: 가시도 없고
P1 	: 관상용으로 딱이에요
P0 	: 그쵸!!  맞아요
	  코스모스 활짝 펼쳐진 곳 가면 너무 예뻐요
P1 	: 저는 그런데는 못가봤는데 어디 아시는데 있나요?
P1 	: 가보고싶어요
P0 	: 예전에 강릉 경포에 코스모스 쫙 피어있던 곳 보러 갔었어요
P0 	: 경포 생태저류지 그곳에 코스모스꽃밭이 만들어져 있었어요
P1 	: 저 지금 캡쳐했어요ㅋㅋㅋㅋ 꼭 가봐야지 감사합니다
P0 	: 엇! 지금도 계속 하는지 모르겠어서 찾아봤는데
P0 	: 19년도부터는 안 했나봐요ㅜㅜ
P1 	: 아이고 수고스럽게 ㅠ
P1 	: 감사합니다
P1 	: 사진으로 즐겨야겠네요 ㅎㅎㅎㅎ
P0 	: 헛걸음 하시면 아쉽잖아요
