# FILE DATA
ID : MDRW2100040096
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  3
contact_frequency  :  주 1회 미만

P1 	: 백신.. 다음달이면 다 맞는다
P1 	: 밥 먹었어?
P0 	: 나는 언재 맞ㅈ지
P0 	: 연락이없내
P0 	: 나...잤어
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 점심 안먹었어?
P0 	: ㅠㅠ
P0 	: 나 요즘 넘 배고파
P0 	: 간식 줏어먹고 밥은 제대로 안먹엇어
P0 	: 으아앙
P1 	: 밥을 먹으면 되잖아....?
P1 	: 나 열라면 먹고싶었는데 집에 없어 슬퍼
P0 	: 이미 간식을 많이먹어서
P0 	: 열라면 사러가자
P1 	: 집에 라면이 너무 많아,,
P1 	: 흑흑
P0 	: 우우..
P0 	: 그것부터 무거야갯내..
P1 	: 밥 먹었어??? 뭐먹었어
P0 	: 맨날 똑같은거 먹지
P0 	: 달ㄷ슴살이랑 현미..
P1 	: ㅋㅋㅋㅋㅋ ㅜㅜ. 현미 맛잇다매 좋갰다~
P1 	: 나 팥빙수 먹었는데 넘 춥다
P0 	: 도겸 그거 언재 다먹어
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그러다 감기걸랴요
P1 	: 응..... 교훈을 얻었너
P1 	: 이제 안먿을거야 너무 추어
P0 	: 욱ㄱ기다
P0 	: 얼마나남앗어?
P1 	: 한 4번 먹을 정도? 근데 다 안먹어두듀ㅐ 얼려놓음 돼서
