# FILE DATA
ID : MDRW2100015254
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 연애 해보셨어요?
P1 	: 해봤긴 했는데 했다고 하기 민망하네요.
P1 	: 님은요 ?
P0 	: 안 해봤어요
P0 	: 썰 풀어주세요
P1 	: 그렇군요
P1 	: 흠 좋아요
P0 	: 와 좋아요
P1 	: 제가 초등학교 5학년 때 처음으로 사귀어봤어요
P1 	: 빼빼로데이 직전에 헤어졌지만요
P1 	: 그 때 한창 연애혁명이라는 웹툰짤이 유행이었거든요
P1 	: 걔가 그걸로 고백했어요
P1 	: 웃기지 않나요
P1 	: 정말 순수했죠
P0 	: 아 그거 말하시나요
P0 	: 4귀자
P1 	: 님은 연애 할 생각 있으세요 ?
P1 	: 무슨 그거요?
P0 	: 음 사람이 있으면 해보고는 싶네요
P1 	: 오 정말요 ?
P1 	: 그럼 결혼은요?
P1 	: 저는 사실 결혼은 안하고 싶어요
P0 	: 안해요
P1 	: 님은 왜요?
P0 	: 비혼주의자라서요
P1 	: 오 저도예요
P1 	: 왜 비혼을 생각하시게 되었나요?
P0 	: 음 어렸을 때부터 그랬어요
