# FILE DATA
ID : MDRW2100019180
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 경쟁전하시나요?
P1 	: 요즘엔 아예 안해서요ㅋㅋ
P1 	: 그땐 경쟁전했죠ㅋㅋ
P0 	: 저도 경쟁안돌린지 꽤되었어요ㅋㅋㅋ
P0 	: 솔플하세요?
P1 	: 아뇨ㅋㅋ
P1 	: 같이 하는 친구가있었어요ㅋㅋ
P0 	: 몇인팟하시나요?
P1 	: 전 탱 친구는 딜
P0 	: 탱딜듀오 좋네요
P1 	: ㅋㅋ넵 가끔은 바꿔서하고요
P1 	: 재밌었는데 언제부턴가 질려서요ㅋㅋ
P0 	: 팀원중 꼭 힐러잡는 애가 있어야겠네요ㅋㅋㅋ
P0 	: 그죠 요즘 옵치 업뎃도없고...
P0 	: 질려요
P1 	: 맞아요...
P1 	: 신캐는 좀 생겼나요?
P1 	: 저 솜브라나올때 관뒀어요ㅋㅋ
P1 	: 오래전인뎅
P0 	: 솜브라뒤로 아마...
P0 	: 둠피스트랑 에코
P0 	: 브리기테도 그뒤에나왔나요?
P0 	: 래킹볼 나왔어요
P1 	: 많이 나왔네요ㅋㅋ
P1 	: 디바도 그동안 너프 많이 먹었죠?
P0 	: 네 너프진짜 많이 먹어서 잘안써요
P1 	: 요즘엔 필수픽은 어떤 캐인지 아시나요ㅋㄱㅋ
P1 	: 저때는 자리야였는데
P0 	: 지금은 위도우요...
P0 	: 적폐 위도우
P0 	: 그리고 방벽캐좋아해요 시그마나 오리사요
P0 	: 둘다 솜브라뒤에나온걸 깜박했네요
P1 	: 오리사
P1 	: 그 눈 ㅡㅡ같이 생긴 캐릭터죠?
P0 	: 네!
P0 	: 정확하시네
P0 	: 눈앞에서 본거 같아요
